Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
461.083 1.97044 216.06 173.379 1 1 0.2 0.5 0.7 1 1.4 1.6 2.2 2.8 3.5 3.8 4.2 5.3 0.0461378 0.118767 0.104444 0.221176 0.107965 0.174199 0.134513 0.062337 0.029502 3.2171e-06 0.000955755 2.2624e-11 0.09956 0.0534176 0.142538 0.15696 0.222064 0.0639235 0.153856 0.0625554 0.00985372 0.0240827 0.00715873 0.00403106
478.103 2.04317 225.448 182.766 1 1 0.2 0.5 0.8 1.2 1.6 2 2.4 2.9 3.3 3.9 4 4.1 0.0464763 0.123869 0.202558 0.203949 0.179787 0.0828193 0.0910967 0.0302934 0.0333364 5.90985e-06 0.00308562 0.00272474 0.0867441 0.105076 0.17571 0.20458 0.163124 0.0982368 0.0635645 0.0710127 8.80093e-05 0.0185546 0.00411696 0.00919401
461.432 1.97193 216.256 173.574 1 1 0.0001 0.5 0.9 1.3 1.6 2.1 2.6 3.2 3.7 4 4.3 5.2 0.026587 0.178198 0.231496 0.158759 0.165639 0.1171 0.0751498 0.0342149 0.012053 2.03942e-06 0.000801811 2.351e-11 0.0602117 0.156 0.205528 0.187912 0.125742 0.114461 0.08887 0.0148995 0.0168339 0.0203352 0.000196511 0.00901036
458.335 1.9587 214.512 171.83 1 1 0.2 0.5 0.7 1.1 1.4 1.6 2.1 2.6 3.3 4 4 5.2 0.0528314 0.0706787 0.202043 0.184749 0.102931 0.145275 0.11953 0.0767642 0.0402354 0.00374899 0.00121402 5.44708e-10 0.0962346 0.0691318 0.134373 0.224929 0.0956304 0.112 0.121433 0.0847411 0.0265752 0.0284951 6.60636e-06 0.00644959
819.779 3.50333 365.103 322.421 1 1 0.2 0.5 0.9 1.3 1.6 2 2.4 2.6 3.4 3.8 4.8 5.2 0.0756251 0.0756056 0.293463 0.226599 0.0168309 0.167467 0.0884548 5.92507e-09 0.0559549 1.44207e-11 1.85185e-13 4.68342e-10 0.0916569 0.115906 0.205844 0.210774 0.10336 0.075068 0.0744312 0.0605666 0.00304072 0.0423376 8.856e-10 0.0170165
809.505 3.45942 361.837 319.155 1 1 0.2 0.6 0.8 1.2 1.5 1.9 2.3 2.7 3.3 3.8 4.6 5.1 0.0834004 0.0637537 0.204204 0.293451 0.024757 0.14199 0.128169 4.78964e-09 0.059543 1.99279e-08 0.000731913 1.25389e-12 0.103608 0.124294 0.11923 0.216093 0.153219 0.0534056 0.118869 0.0529962 0.00276928 0.0437829 1.77016e-07 0.0117334
801.295 3.42434 359.197 316.515 1 1 0.0001 0.4 0.8 1.1 1.5 1.7 2.2 2.6 3.3 3.7 4.6 5.1 0.0360729 0.097033 0.179878 0.26891 0.0915562 0.0695663 0.193286 1.57923e-07 0.0628181 7.70831e-10 0.000880214 4.44472e-11 0.0413693 0.142534 0.142704 0.193162 0.205291 0.0235602 0.116781 0.0812202 1.14926e-05 0.0422421 3.65286e-08 0.0111251
803.622 3.43428 359.948 317.266 1 1 0.0001 0.5 0.8 1.2 1.5 1.9 2.2 2.6 3.3 3.8 2.8 5.1 0.0495298 0.0948947 0.208821 0.276603 0.0617395 0.0705488 0.1723 0.00234914 0.0632139 6.06456e-10 7.46524e-08 6.3484e-09 0.0594832 0.151993 0.135845 0.210168 0.16738 0.0204195 0.117457 0.0692882 0.0051044 0.0418219 0.0056282 0.0154129
470.035 2.0087 221.04 178.358 1 1 0.0001 0.5 0.6 0.7 1.3 1.4 2 2.5 2.9 3.6 3.9 4 0.0383367 0.0379959 0.0530357 0.23697 0.244401 0.0957987 0.164729 0.0549794 0.0484331 0.0253162 4.28516e-06 3.54216e-07 0.065546 0.0683783 0.0372804 0.178391 0.338683 0.00567184 0.149942 0.0812465 0.0365185 0.0184119 0.0183238 0.00160718
802.773 3.43065 359.674 316.992 1 1 0.2 0.5 0.8 1 1.3 1.5 2.1 2.6 3.3 3.7 2.3 5.2 0.0779553 0.0564904 0.160139 0.188495 0.122979 0.107121 0.159173 2.38342e-07 0.0630182 2.95379e-08 0.0646293 2.58706e-11 0.0979116 0.0803908 0.186167 0.033075 0.206498 0.120255 0.120986 0.0930705 5.75903e-06 0.0429496 0.0107723 0.00791927
811.902 3.46967 362.603 319.921 1 1 0.2 0.6 0.8 1.2 1.7 2 2.3 2.9 3.3 3.4 4.3 4.6 0.0831009 0.0652736 0.202226 0.297608 0.0679378 0.11025 0.112216 8.9168e-10 0.0606358 0.000752031 2.06911e-09 3.7123e-09 0.0950125 0.128205 0.149101 0.213638 0.158844 0.0967218 0.040632 0.0677644 0.0230857 3.51923e-07 0.0269953 1.43972e-09
768.144 3.28267 348.254 305.572 1 1 0.0001 0.3 0.8 1.1 1.4 1.7 2 2.4 2.9 3.1 4 2.7 7.11387e-07 0.117342 0.2427 0.197058 0.0395531 0.155284 0.132667 0.00512425 0.0951201 4.62245e-06 0.0136731 0.00147399 0.0110835 0.147707 0.188206 0.156137 0.159444 0.0607716 0.106805 0.0840885 0.0211608 0.0403211 0.0241107 0.000165335
463.016 1.9787 217.144 174.462 1 1 0.2 0.5 0.7 1.1 1.4 1.7 2.2 2.6 3.2 3.9 4 4.4 0.0504471 0.0848794 0.181595 0.202229 0.11605 0.155744 0.0967387 0.0621348 0.0407887 0.00939317 2.70151e-07 4.90047e-09 0.0982063 0.0568206 0.154929 0.198188 0.146176 0.105718 0.111606 0.067996 0.0315835 0.0181376 0.0106379 3.391e-07
459.704 1.96455 215.284 172.602 1 1 0.2 0.6 1 1.4 1.6 2.1 2.5 2.9 3.5 3.7 4.5 4.1 0.054477 0.214236 0.210467 0.151694 0.12628 0.117763 0.0555603 0.0400729 0.0274121 0.000922103 0.00101525 0.000100452 0.100732 0.161631 0.206474 0.200216 0.0578012 0.13231 0.0547725 0.0473705 1.1964e-05 0.0277491 0.00131519 0.00961638
