3H Fch Data from Collard 1965 (1), Beck 1982 (2), and Beck 1984 (3). 
Q2 [fm^-2]   |Fch|   uncertainty |Fch|   Dataset
1	0.622	0.007		 1
1.5	0.503	0.007		 1
2	0.387	0.007		 1
2.5	0.312	0.006		 1
3	0.267	0.005		 1
3.5	0.215	0.004		 1		 
4	0.175	0.004		 1
4.5	0.137	0.003		 1
5	0.118	0.004		 1
6	0.0758	0.0041		 1
8	0.0295	0.0039		 1
0.29	0.885	0.063		 2
0.386	0.863	0.055		 2
0.45	0.769	0.069		 2
0.481	0.784	0.062		 2
0.6	0.79	0.058		 2
0.67	0.789	0.033		 2
0.775	0.769	0.073		 2
0.85	0.743	0.042		 2
0.9	0.603	0.048		 2
0.951	0.682	0.044		 2
1	0.579	0.048		 2
0.051	0.967	0.0462276973	 3
0.098	1.039	0.048		 3
0.258	0.95	0.028		 3
0.571	0.826	0.023		 3
1.05	0.697	0.019		 3
1.51	0.548	0.014		 3
2.21	0.387	0.011		 3
2.98	0.282	0.009		 3
0.3	0.872	0.041		 3
0.5	0.782	0.036		 3
0.7	0.785	0.03		 3
0.9	0.659	0.023		 3
