Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
532.256 2.45279 235.945 208.302 1.01106 1.10192 0.1 0.4 0.9 1.3 1.7 2.1 2.2 3.1 3.6 4.1 4.6 5.2 0.0249113 0.230813 0.168335 0.302895 0.146347 0.0144575 0.0455148 0.0777901 0 0 0 0 0.0267628 0.244067 0.171641 0.351047 0.0227561 0.0686469 0.160142 0.056854 0 0 0 0
535.035 2.4656 237.163 209.52 1.0101 1.08224 0.0001 0.5 0.7 1.2 1.6 2 2.1 3 3.5 4.1 4.7 5.2 0.0903565 0.012893 0.316702 0.181479 0.270038 0.0481248 0.000636422 0.0898667 0 0 0 0 0.0550876 0.27708 0.000110388 0.428247 0.0265587 1.52076e-05 0.237244 0.0578983 0 0 0 0
520.846 2.40021 230.874 203.231 1.01783 1.19375 0.3 0.6 0.5 1.2 1.5 2 3.7 2.5 3.1 3.7 4.3 4.8 0.132883 0.190414 0.00058969 0.44169 2.27308e-08 0.134432 0.0340021 0.0838245 0 0 0 0 0.138701 0.255793 0.0026605 0.179274 0.318342 0.0335454 0.0655934 0.199842 0 0 0 0
535.219 2.46645 237.244 209.601 1.00995 1.08166 0.2 0.5 1.1 1.2 1.6 2 2.1 3 3.4 3.9 4.4 5 0.078475 0.220678 0.313708 0.000354812 0.248672 0.0590498 5.66777e-07 0.0890092 0 0 0 0 0.082025 0.243463 0.00405723 0.438682 0.0121072 0.0190877 0.224664 0.0575723 0 0 0 0
550.639 2.53751 243.89 216.247 1.00196 1.05902 0.1 0.7 0.8 1.2 1.6 2.1 1.7 2.9 3.3 3.9 4.5 5.1 0.0904465 1.9767e-05 0.447932 0.0865256 6.09481e-05 0.0424315 0.253595 0.0809499 0 0 0 0 0.108737 0.314951 1.63257e-06 0.257084 0.133403 0.190612 4.673e-07 0.0542306 0 0 0 0
533.25 2.45737 236.381 208.738 1.03833 1.07597 0.0001 0.5 0.8 1 1.4 1.7 3.7 2.5 3 3.6 4.1 4.6 0.062613 0.0995149 0.341178 0.0226506 0.185478 0.164888 0.0383044 0.123706 0 0 0 0 0.0741895 0.141821 0.276987 0.0171954 0.195039 0.210808 0.022611 0.137318 0 0 0 0
557.35 2.56843 246.725 219.082 0.995079 1.04128 0.0001 0.5 0.8 0.9 1.4 1.7 1.9 2.7 3.1 3.6 4.2 4.7 0.0430854 0.169368 0.184945 0.13044 0.159252 0.202038 7.43905e-07 0.10595 0 0 0 0 0.0969253 0.0958209 0.0456259 0.333902 0.152972 0.00066061 0.238509 0.0768608 0 0 0 0
518.258 2.38828 229.708 202.065 1.02176 1.21226 0.0001 0.4 0.8 1.2 1.7 2.1 2.7 3.7 3.4 3.9 4.4 5 0.103008 1.44631e-05 0.339899 0.301252 5.17296e-07 0.22348 0.00615857 0.0479486 0 0 0 0 0.112461 8.58244e-08 0.434409 0.0855784 0.310435 0.0621053 0.149943 0.0573229 0 0 0 0
546.677 2.51925 242.2 214.558 1.00487 1.06738 0.0001 0.5 0.9 1.1 1.5 1.8 2.1 3 3.1 3.7 4.2 4.8 0.0890988 0.0421461 0.508503 2.58622e-06 1.32304e-07 0.273033 0.0193557 0.0727261 0 0 0 0 0.0644253 0.242965 1.81893e-08 0.352832 0.133364 5.64606e-09 0.221822 0.0519723 0 0 0 0
549.944 2.5343 243.594 215.952 1.00202 1.05678 0.0001 0.5 0.8 1.1 1.7 1.8 2.1 2.9 3.3 3.8 4.3 4.9 0.0893521 4.11206e-05 0.406168 0.152176 4.24726e-08 0.272999 1.51983e-08 0.0812825 0 0 0 0 0.0685252 0.22919 3.38285e-07 0.396471 0.131496 4.28541e-08 0.177342 0.0537535 0 0 0 0
