Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
744.003 3.42859 314.316 286.673 1 0.986323 0.3 0.6 0.6 0.9 1.4 1.8 2 2.7 3.2 3.8 4.4 5 0.0822459 0.151705 0.122385 0.115564 0.327551 0.0748182 0.0260918 0.0996391 0 0 0 0 0.182477 0.0428083 0.0290846 0.247913 0.255759 8.64964e-05 0.16103 0.0671645 0 0 0 0
737.455 3.39841 312.247 284.605 1 1.04035 0.3 0.6 0.8 1.1 1.4 1.8 2 2.8 3.3 3.9 4.4 4.9 0.0906171 0.223313 0.122286 0.0548763 0.298673 0.082344 0.029207 0.0986833 0 0 0 0 0.169376 0.154816 0.0050625 0.271313 0.152716 1.73528e-05 0.208884 0.078161 0 0 0 0
735.387 3.38888 311.59 283.948 1 0.985741 0.0001 0.4 0.7 1.4 1.4 1.7 2 2.7 3.3 3.8 4.4 4.9 0.000457696 0.248176 0.14691 0.0683345 0.371031 0.0488556 0.00578908 0.110447 0 0 0 0 0.0891812 0.00136133 0.374016 0.30429 0.00323604 3.41065e-10 0.150772 0.0628842 0 0 0 0
718.896 3.31288 306.283 278.64 1 1.07523 0.3 0.3 0.7 1.2 1.6 2 2.1 3 3.4 4 4.6 5.2 0.00857734 0.155392 0.227141 0.215329 0.280041 0.0165596 0.0111609 0.0857991 0 0 0 0 0.140847 0.0529117 0.162424 0.383658 0.029009 0.0363301 0.201599 0.0684498 0 0 0 0
734.152 3.38319 311.197 283.554 1 1.05925 0.3 0.4 0.8 1.1 1.5 1.9 2.2 3 3.2 3.7 4.2 4.7 0.0106723 0.203586 0.193853 0.175386 0.242569 0.0188574 0.0929336 0.0621433 0 0 0 0 0.111726 0.150951 0.0127384 0.422882 0.0258279 0.166621 0.10645 0.0620539 0 0 0 0
737.268 3.39755 312.188 284.546 1 1.04228 0.3 0.6 0.7 1.1 1.4 1.9 2.1 2.9 3.4 4 4.5 5 0.10542 0.159904 0.115162 0.165523 0.243975 0.0619171 0.0726147 0.0754836 0 0 0 0 0.194257 0.0839638 0.00580189 0.411263 0.0136574 0.170543 0.0967912 0.0659983 0 0 0 0
752.167 3.46621 316.87 289.227 1 0.959555 0.3 0.4 0.7 1.2 1.4 1.7 1.9 2.7 3.3 3.9 4.4 4.9 0.0346175 0.201987 0.15863 0.0796812 0.296637 0.110468 0.0264477 0.0915318 0 0 0 0 0.159159 0.0307604 0.177419 0.322036 0.00298453 0.0232339 0.181706 0.0622555 0 0 0 0
725.651 3.34401 308.472 280.829 1 1.01544 0.2 0.4 0.8 1 1.4 1.7 2 2.8 3.4 4 4.5 5.1 0.0103955 0.247605 0.139079 0.0462941 0.331559 0.123724 0.000970868 0.100373 0 0 0 0 0.034289 0.231975 0.00836543 0.278893 0.201234 2.96728e-06 0.194877 0.0657989 0 0 0 0
742.454 3.42145 313.828 286.186 1 0.987047 0.0001 0.3 0.7 1.3 1.5 1.7 2 2.8 3.4 4 4.6 5.1 0.0025356 0.149847 0.276018 0.112634 0.312199 0.04864 2.40744e-05 0.098102 0 0 0 0 0.0964558 1.04369e-07 0.339777 0.2976 3.55469e-10 2.45248e-10 0.199971 0.0532427 0 0 0 0
731.343 3.37024 310.3 282.657 1 1.03911 0.2 0.5 0.8 1 1.5 1.9 2.2 2.9 3.4 4 4.5 5.1 0.0860035 0.0851007 0.238927 0.166946 0.220728 0.0908624 0.0335986 0.0778345 0 0 0 0 0.0854255 0.206311 0.0191771 0.241554 0.272566 0.00502334 0.155933 0.0531245 0 0 0 0
716.588 3.30225 305.531 277.888 1 1.06861 0.2 0.6 0.9 1.4 1.6 1.7 2.2 3 3.4 4 4.5 5 0.118121 0.143485 0.244181 0.1384 0.20379 0.0475168 0.0211937 0.083312 0 0 0 0 0.106176 0.239593 0.121488 0.34137 0.0135018 0.00194808 0.185347 0.0591872 0 0 0 0
716.901 3.30369 305.633 277.99 1 1.06163 0.2 0.4 0.9 1.4 1.6 2.1 2.2 3 3.4 3.9 4.4 5 0.0627429 0.160091 0.283428 0.147999 0.22438 0.0338195 0.0086251 0.0789142 0 0 0 0 0.0337253 0.226601 0.229448 0.302268 0.025353 0.0281964 0.157428 0.0586061 0 0 0 0
726.358 3.34727 308.7 281.057 1 1.03658 0.0001 0.5 0.9 1.4 1.6 1.9 2.1 2.9 3.3 3.9 4.4 4.9 0.0536955 0.223875 0.211123 0.147523 0.254344 0.0155306 0.001393 0.0925168 0 0 0 0 0.0846014 0.142829 0.310463 0.210106 0.0182591 0.057645 0.152272 0.0604048 0 0 0 0
