Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
421.29 1.80039 192.684 150.002 1.01351 0.998982 0.0001 0.5 0.7 1.1 1.3 1.5 2 2.5 3.1 3.5 4.5 5.1 0.0720471 0.090722 0.103464 0.234704 2.06463e-09 0.247207 0.14253 0.0155057 0.086012 0.0125287 2.52631e-13 0.00879073 0.0599664 0.0831751 0.220754 0.0447261 0.196356 0.0921953 0.167243 0.051849 0.0749472 0.000502321 0.00726832 1.99646e-09
416.212 1.77868 189.543 146.861 1.01356 1.14184 0.0001 0.4 0.8 1.2 1.4 1.9 2.4 2.8 3.3 3.9 4 5.1 0.0605871 0.091157 0.177204 0.174553 0.186993 0.194435 0.00277421 0.0552154 0.0618448 7.32747e-15 1.66533e-15 0.00879433 0.0511211 0.111906 0.224739 0.116202 0.198922 0.130348 0.119614 0.0537261 0.0464638 0.051722 1.72199e-10 0.0370769
350.061 1.49599 144.713 102.031 1.01086 1.07118 0.3 0.4 0.8 1.1 1.5 1.7 2.2 2.8 3.4 4.1 4.4 5 0.061548 0.0764004 0.233492 0.133668 0.209988 0.0588837 0.134635 0.057977 0.0308942 0.00143243 0.0119389 1.22125e-15 0.149156 0.0142596 0.194584 0.182915 0.0826927 0.162271 0.120768 0.0819019 0.0482828 0.0159851 0.0183659 1.01585e-14
449.12 1.91932 209.252 166.57 1.01347 1.09041 0.0001 0.5 0.6 1 1.4 1.9 2.2 2.6 3.3 3.8 4.6 4.9 0.0521256 0.00124729 0.176583 0.27722 0.188843 0.0593022 0.181235 1.34664e-10 0.0639588 2.4285e-12 0.0129602 6.67792e-10 0.0655149 0.0473159 0.170687 0.16465 0.277802 0.0509221 0.111062 0.104299 0.0301414 0.0547915 1.14635e-08 0.0132276
353.998 1.51281 147.61 104.928 1.01011 1.04988 0.3 0.4 0.8 0.9 1.4 1.5 2.1 2.6 3.1 3.6 4.3 4.5 0.0331535 0.127897 0.000266267 0.315372 0.013205 0.262158 0.129965 0.0697526 0.0273539 0.0215789 0.00940935 1.18779e-09 0.159399 2.39411e-09 0.0929307 0.223158 1.75476e-09 0.262559 0.147879 0.0566917 0.0613716 0.0191503 0.0267441 4.80059e-11
416.856 1.78143 189.943 147.261 1.01369 1.14788 0.0001 0.4 0.7 1.1 1.5 1.9 2.3 2.8 3.3 3.9 4.4 5.1 0.0593099 0.0903528 0.102649 0.271565 0.19023 0.161891 0.0139239 0.0519138 0.0629567 4.09284e-13 1.95344e-13 0.00890375 0.0551068 0.0881864 0.172818 0.215351 0.206804 0.0654565 0.137799 0.070551 0.0431358 0.0545075 8.13474e-08 0.0381664
351.203 1.50087 145.556 102.875 1.01068 1.08422 0.3 0.5 0.8 1.1 1.4 1.6 2.1 2.7 3.3 3.9 4.4 4.5 0.0962316 0.0332293 0.279343 0.0269797 0.253091 0.0529657 0.151141 0.0673378 0.032658 0.00757468 0.0101259 2.92488e-13 0.154028 0.012164 0.19025 0.18769 1.74079e-06 0.213242 0.135329 0.0898368 0.0561578 0.0203233 0.0251979 1.29105e-10
415.429 1.77534 189.055 146.374 1.01317 1.18192 0.1 0.5 0.9 1.3 1.7 1.9 2.5 2.9 3.3 3.9 4.6 5.1 0.076856 0.114707 0.176106 0.286821 0.066749 0.158802 0.0216827 0.0457343 0.0568838 1.82632e-14 1.22236e-13 0.00882227 0.0677115 0.150238 0.202832 0.236921 0.0712369 0.120225 0.149966 0.016548 0.062377 0.0565621 0.0102078 0.0370946
346.176 1.47938 141.823 99.1407 1.01136 1.05142 0.3 0.4 0.9 1.1 1.6 2 2.5 2.8 3.4 4 4.4 4.9 0.00934061 0.166793 0.217728 0.14915 0.221944 0.0821973 0.0987916 0.0138083 0.0387585 3.01403e-11 0.0128526 3.38618e-14 0.162671 0.0171757 0.208468 0.164034 0.202623 0.0796031 0.117779 0.0270614 0.0388647 0.0310034 9.42454e-11 0.00213583
528.559 2.2588 251.433 208.751 1.01477 1.16526 0.0001 0.5 0.8 1.2 1.5 1.7 2.2 2.8 3.6 3.9 4.1 5.1 0.0491017 0.1816 0.0755633 0.232386 0.0745033 0.2502 9.24982e-13 0.109955 0.0320145 1.12688e-14 1.13798e-14 0.00944743 0.0593339 0.157292 0.133482 0.222567 0.175819 0.00505737 0.182811 0.0944364 0.0578455 0.0318786 5.86745e-07 0.0447382
