Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
455.025 1.94455 212.635 169.953 1 1.1481 0.0001 0.6 0.8 1.3 1.4 1.9 2.4 2.9 3.5 4.4 4.6 5.8 0.0381995 0.217431 0.115752 0.271711 0.0451017 0.152081 0.0853655 0.046386 0.0256243 0.00234634 2.27861e-06 3.15017e-09 0.0636251 0.212066 0.104087 0.284612 6.4443e-11 0.195053 0.0716189 0.078273 0.0635978 0.0418187 0.0177874 0.0155622
541.97 2.31611 257.923 215.241 1 1.02068 0.0001 0.4 0.9 1.3 1.7 1.8 2.1 2.6 3.2 3.3 4.3 5.2 0.0541301 0.116031 0.214688 0.261468 0.0430819 0.151613 0.0372806 0.0445908 0.0771175 9.66649e-08 5.69589e-12 7.83504e-10 0.033708 0.156235 0.263801 0.159121 4.22154e-08 0.206421 0.041433 0.0783967 0.0390493 0.0178508 0.0134205 0.0112438
806.222 3.44539 360.785 318.103 1 1.11929 0.0001 0.3 0.8 1.2 1.4 1.9 2.3 2.5 3.4 3.9 3.2 5.1 0.0211273 0.0889523 0.25416 0.255471 0.050932 0.137083 0.130147 0.00413762 0.0550292 2.24301e-10 0.00296219 2.01885e-08 0.0145162 0.140534 0.225088 0.127024 0.19523 0.121766 0.0127797 0.146816 0.0118876 0.0648191 0.0267338 0.0320965
807.225 3.44968 361.106 318.424 1 1.08885 0.0001 0.4 0.9 1.3 1.4 1.9 2.3 2.5 3.3 3.9 4.6 5.1 0.0335428 0.110348 0.306075 0.218978 0.00221231 0.13831 0.129872 3.85063e-09 0.0588945 1.74758e-09 0.00176881 6.50161e-10 0.0391576 0.154386 0.237761 0.0962485 0.171523 0.121443 0.00797286 0.146236 0.031787 0.0574905 9.02615e-08 0.024846
459.166 1.96225 214.981 172.299 1 1.13456 0.2 0.5 0.6 1.1 1.6 1.7 2.2 2.5 3.2 3.9 4 5.1 0.0507302 0.0180824 0.21027 0.293725 0.0605821 0.173261 0.0508343 0.0908492 0.0425416 0.00898103 0.000144392 5.53146e-09 0.0974798 0.0127141 0.164256 0.298394 0.144305 0.0643226 0.0798412 0.110923 0.0605756 2.05164e-07 0.071784 0.0299628
454.529 1.94243 212.352 169.67 1 1.11784 0.2 0.5 0.7 1.1 1.5 1.6 2.2 2.8 3.3 3.6 4.2 5.1 0.0511744 0.0825122 0.181328 0.222011 0.063916 0.172687 0.134109 0.0573185 0.0207776 0.0111107 0.00305539 2.00696e-09 0.106145 0.0263381 0.183882 0.221095 0.0973876 0.127773 0.148611 0.0927716 1.14191e-11 0.0532215 0.0400528 0.0205592
457.052 1.95321 213.786 171.104 1 1.00231 0.2 0.5 0.7 1.1 1.5 1.5 2.1 2.6 3.1 3.7 3.8 4.3 0.0551778 0.0582126 0.218492 0.177306 0.0960912 0.141901 0.138035 0.0607286 0.0377526 0.0162477 9.42384e-06 4.67851e-05 0.108348 0.00962607 0.207795 0.188852 0.149029 0.067865 0.126943 0.0829369 0.0236898 1.62054e-08 0.0331234 0.00410441
813.029 3.47448 362.962 320.28 1 1.24146 0.0001 0.3 0.9 1.3 1.5 1.7 2.3 2.8 2.9 3.9 4 5.3 0.0186506 0.117183 0.294194 0.206568 0.0493222 0.0992795 0.11502 0.0796124 2.37199e-06 0.00998223 0.0101854 5.72149e-07 9.31968e-10 0.169029 0.31189 0.000653608 0.301863 7.4858e-05 0.171927 0.0749108 0.0335122 0.0407475 0.082864 0.0539896
453.759 1.93914 211.913 169.231 1 1.01198 0.2 0.4 0.8 1.2 1.5 1.8 2.3 2.9 3.5 3 4.3 4.6 0.0290014 0.108259 0.256536 0.146093 0.166291 0.096472 0.119602 0.05015 0.0259301 5.79697e-05 0.00160812 1.24387e-08 0.0646428 0.102472 0.214908 0.1857 0.0812578 0.153326 0.104797 0.00720088 0.0184878 0.0563987 0.022792 6.87296e-10
453.366 1.93746 211.688 169.006 1 1.15149 0.1 0.5 0.8 1.2 1.5 1.9 2.3 2.9 3.5 3.6 4.4 5.4 0.0341232 0.139186 0.208086 0.157592 0.188296 0.0840885 0.109336 0.0526889 0.0243861 0.000110399 0.0021061 1.43455e-10 0.0631249 0.127301 0.202583 0.146494 0.164268 0.124121 0.0992051 0.0866347 0.0208601 0.0411938 0.0575857 0.0181172
453.436 1.93776 211.729 169.047 1 1.08853 0.0001 0.5 0.9 1.2 1.6 2 2.4 2.8 3.4 3.7 4.2 5.2 0.0254054 0.185064 0.1985 0.157411 0.195206 0.0762649 0.0860804 0.0389765 0.0334297 5.74019e-06 0.00365751 2.53678e-10 0.0589358 0.165517 0.165911 0.19262 0.162689 0.0818941 0.0958446 0.0648085 0.00718185 0.0449599 0.0283708 0.0197939
453.208 1.93678 211.598 168.916 1 1.09813 0.2 0.5 0.8 1.2 1.6 1.9 2.4 2.9 3.4 3.8 4.3 5.2 0.0462513 0.12657 0.195677 0.215679 0.153321 0.0906534 0.104036 0.0343095 0.0284129 0.00224442 0.00284536 7.56025e-10 0.100763 0.0708862 0.197116 0.220107 0.144275 0.0793077 0.127793 0.0538924 0.0109231 0.049976 0.0221519 0.0209412
587.71 2.51158 278.908 236.226 1 0.93455 0.0001 0.5 0.9 1.3 1.5 1.9 2 2.9 3.5 3.7 4.3 5.2 0.0683775 0.126549 0.176155 0.251511 0.0911432 0.0855787 0.0893923 0.078317 0.0329771 6.84542e-10 1.53503e-10 1.67998e-10 0.0543116 0.162327 0.226046 0.0971752 0.144945 3.8356e-10 0.16353 0.0682812 0.00681256 2.22285e-11 3.6488e-10 0.0111204
5605.34 23.9544 863.015 820.334 1 3.49525 0.2 0.3 0.8 1.1 1.5 1.6 2.2 2.8 3.4 4 3.9 2.7 0.0273886 0.096083 0.194082 0.279612 0.00066632 0.144289 0.181206 0.00780782 0.0686135 5.19525e-08 1.9565e-08 0.000251862 0.00962821 0.0241672 0.0120117 0.00256991 0.168255 1.15937e-08 0.676257 0.945912 0.980029 0.480812 1.03182e-07 0.195612
4422.31 18.8988 801.618 758.936 1 2.54431 0.0001 0.4 0.8 1.1 1.5 1.7 2.2 2.4 3.3 4 4.5 4.9 0.0347664 0.106193 0.161316 0.299502 0.0323361 0.117872 0.148904 0.0221994 0.0769123 3.50623e-08 2.67264e-08 3.79123e-08 0.0101474 0.0971645 0.115022 0.311804 0.107708 0.420072 0.232299 5.36879e-10 0.256695 0.468034 0.302332 0.223032
4455.78 19.0418 803.571 760.889 1 2.46794 0.2 0.4 0.8 1.1 1.3 1.7 2.2 2.1 3.3 3.8 4.2 4.8 0.058316 0.0792012 0.162555 0.298304 0.0216352 0.129267 0.166901 0.00251301 0.0812999 3.43643e-06 1.11277e-06 2.67017e-06 0.0233712 0.0716075 0.171638 0.15528 0.20022 0.431376 0.21706 0.00888087 0.227675 0.18706 0.454725 0.319041
