Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
461.632 1.97279 216.369 173.687 1 1 0.2 0.5 0.8 1.3 1.7 1.9 2.3 2.9 3.4 4 4.5 5.1 0.0498995 0.108184 0.238717 0.24343 0.137269 0.0255176 0.120078 0.0465568 0.0256195 0.00472795 3.26187e-09 1.07861e-09 0.0932365 0.0686395 0.246398 0.21722 0.0827189 0.108629 0.0756957 0.0648828 0.0164619 0.0157438 0.0103734 2.29568e-08
790.804 3.3795 355.783 313.101 1 1 -0.0999 0.5 0.8 1.2 1.6 1.8 2.3 2.7 3 4 3.4 4.1 0.0667488 0.0948104 0.144312 0.340321 0.0577926 0.106116 0.0529493 0.116624 1.06367e-07 0.0201143 1.93627e-09 0.000210978 0.0559891 0.156131 0.146658 0.242599 0.0613076 0.132926 0.110958 0.0262723 0.0288309 0.0227518 0.0155774 1.58103e-09
835.159 3.56906 369.918 327.236 1 1 0.0001 0.6 0.7 1.2 1.5 1.9 2.3 2.8 3.6 4.1 4.6 4.6 0.0670523 0.130004 0.0852683 0.351339 0.0845827 0.108949 0.0475596 0.111611 2.93781e-08 0.0136346 1.94853e-07 1.97782e-08 0.0705839 0.187693 0.0680163 0.261365 0.0984795 0.128407 0.0683186 0.0714852 0.0257902 4.45479e-07 0.0181449 0.00171551
769.947 3.29037 348.861 306.179 1 1 -0.0999 0.5 0.7 1.2 1.7 1.8 2.2 2.6 3 4 1.9 4.8 0.0697399 0.0560477 0.155777 0.385585 2.40739e-06 0.148022 5.16092e-10 0.150674 1.13586e-05 0.0246554 0.00948532 9.40077e-11 0.0642 0.124047 0.135583 0.2852 0.128367 0.0631674 0.0522882 0.0772229 0.040216 0.025549 0.001424 0.00273635
823.416 3.51887 366.25 323.568 1 1 0.2 0.5 0.9 1.2 1.6 2.1 2.5 0.6 3.4 3.8 3 5.2 0.0749491 0.0692056 0.248567 0.207317 0.100615 0.1753 0.0498636 0.0185783 0.0556036 5.69715e-10 5.5958e-07 1.81477e-12 0.0900036 0.123142 0.168822 0.195918 0.168927 0.0685459 0.118008 0.000700056 0.00193902 0.0423524 0.00616368 0.0154788
456.05 1.94893 213.218 170.536 1 1 0.2 0.6 0.7 1.2 1.6 1.9 2.3 2.7 3.3 3.8 3 4.7 0.0587119 0.102093 0.180414 0.25363 0.143377 0.0785763 0.0921115 0.0460358 0.034139 0.00680072 0.00411053 4.61474e-08 0.10322 0.083932 0.13522 0.296162 0.0804687 0.105463 0.08589 0.0523471 0.00165644 0.0327519 0.0209214 0.0019679
540.267 2.30883 257.108 214.426 1 1 -0.0999 0.5 0.9 1.2 1.7 1.8 2.2 2.9 3.3 4.1 5.6 4.6 0.0745977 0.125326 0.124617 0.278381 0.190819 0.0397089 0.0625905 0.0553431 0.0486171 3.25144e-08 5.03895e-08 3.59158e-07 0.0545653 0.180378 0.157008 0.192934 0.193922 7.08633e-08 0.115234 0.0571616 0.0316855 0.00173881 0.00652459 0.00884768
542.237 2.31725 258.051 215.369 1 1 0.2 0.4 0.9 1.1 1.6 1.8 2.1 2.7 3.2 3.4 4.6 5.5 0.0928667 0.0734001 0.158898 0.205296 0.269065 4.73388e-05 0.089544 0.0366597 0.0708156 0.00340688 3.73123e-10 1.64307e-11 0.0606055 0.122496 0.259834 0.0821455 0.223046 0.0113527 0.116155 0.062267 0.0357502 0.010767 0.00838282 0.0071994
858.87 3.67038 377.168 334.486 1 1 0.2 0.4 0.8 1.2 1.5 1.8 2.2 2.7 3.3 3.5 3 4.5 0.0913136 0.0627039 0.175299 0.176773 0.276 8.46112e-05 0.131467 1.27466e-05 0.0650733 6.70248e-06 0.0212669 3.4958e-08 0.0775632 0.0723179 0.259336 0.0972434 0.192848 0.0734668 0.0947783 0.0744023 0.00439464 0.0461485 1.94892e-08 0.00750088
556.911 2.37996 264.967 222.285 1 1 0.2 0.4 0.8 1.1 1.6 2.1 2.1 2.9 3.3 3.4 4.3 5.2 0.0984471 0.0566838 0.119764 0.26278 0.257409 0.035581 0.0638931 0.056921 0.0478725 0.000643655 8.85801e-08 5.29486e-06 0.0735213 0.0869131 0.20541 0.166737 0.210563 0.056766 0.0780864 0.0728798 0.00281433 0.0184329 0.0140503 0.013827
542.937 2.32024 258.385 215.703 1 1 -0.0999 0.4 0.7 1.1 1.6 1.9 2.1 2.8 3.3 3.5 2.3 4.8 0.0651479 0.0887399 0.0874993 0.309937 0.220776 0.050731 0.0641218 0.054343 0.0573733 3.40355e-06 0.00132794 1.55107e-07 0.0546409 0.0846842 0.183201 0.224565 0.192095 0.026271 0.115378 0.0711148 0.0277238 0.00821648 0.00660836 0.00550105
792.118 3.38512 356.213 313.531 1 1 -0.0999 0.3 0.7 1.1 1.4 1.7 2.1 2.7 3.4 4.1 3.8 5.7 0.0464106 0.0633235 0.151575 0.274811 0.147884 0.0916998 0.0755221 0.129505 2.97103e-11 0.0192677 1.54703e-06 5.5704e-10 0.0253571 0.097505 0.212458 0.170103 0.144398 0.0864093 0.139061 0.0741002 0.0203479 0.0166892 0.00335843 0.0102138
782.572 3.34432 353.073 310.391 1 1 -0.0999 0.3 0.7 1 1.4 1.8 2.3 2.7 3 3.6 4.1 5.7 0.0254099 0.107362 0.0642257 0.297149 0.206708 0.108931 0.0512778 0.118617 2.49331e-10 2.37453e-11 0.0203196 1.12373e-10 0.0077007 0.13455 0.143106 0.202899 0.162149 0.144726 0.105077 0.0293373 0.0284781 0.0160366 0.0156621 0.0102782
554.241 2.36855 263.722 221.04 1 1 -0.0999 0.5 0.9 1.2 1.6 2 2.4 3 3.5 3.7 2.6 5.2 0.0755538 0.120692 0.142188 0.238531 0.189807 0.113555 0.0177105 0.0761757 0.024315 2.9903e-05 0.00142403 1.72193e-05 0.0667757 0.149465 0.183685 0.165817 0.18059 0.0557636 0.109577 0.0335363 0.00156139 0.0286463 0.00394465 0.0206374
