Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
730.054 3.3643 309.887 282.245 1 1 0.2 0.6 0.7 1.1 1.6 1.8 2.4 3.3 3.4 4 4.5 5 0.0906697 0.112402 0.168619 0.260286 0.212707 0.0155033 0.114899 0.0249132 0 0 0 0 0.114095 0.124661 0.148678 0.192854 0.271739 0.00273006 0.126469 0.0187728 0 0 0 0
724.642 3.33936 308.146 280.503 1 1 0.2 0.6 0.8 1.2 1.6 2 2.4 3 3.6 4.1 4.7 5.2 0.117132 0.147529 0.146244 0.200176 0.272591 0.0173412 0.0326122 0.0663749 0 0 0 0 0.119631 0.129938 0.200247 0.154939 0.225109 0.0479148 0.0924396 0.0297816 0 0 0 0
726.449 3.34769 308.729 281.086 1 1 0.2 0.4 0.8 1.4 1.5 1.8 2.1 2.8 3.4 4 4.5 5.1 0.0105883 0.236961 0.193834 0.115869 0.32452 0.0166279 0.000202806 0.101397 0 0 0 0 0.119009 0.0387372 0.344606 0.156185 0.116245 0.040013 0.125633 0.059571 0 0 0 0
724.527 3.33883 308.109 280.466 1 1 0.3 0.3 0.8 1.2 1.6 2.1 2.5 3 3.6 4.1 4.6 5.1 0.0471048 0.139358 0.247081 0.160146 0.30329 0.00274997 0.0394179 0.0608523 0 0 0 0 0.17655 0.0132582 0.258867 0.167556 0.20712 0.0907111 0.0575687 0.0283683 0 0 0 0
724.99 3.34097 308.258 280.616 1 1 0.2 0.4 0.9 1.4 1.7 2.1 2.2 2.9 3.4 4 4.6 5.1 0.0679453 0.152789 0.285368 0.205701 0.190123 0.0101675 0.00467359 0.0832327 0 0 0 0 0.0583822 0.176501 0.278558 0.215279 0.0928491 0.0264559 0.10398 0.0479956 0 0 0 0
738.772 3.40448 312.665 285.022 1 1 0.3 0.6 0.8 1.1 1.6 1.7 2.2 2.7 3.2 3.7 4.2 4.7 0.124087 0.109169 0.194363 0.176364 0.236695 0.0395059 0.0160934 0.103723 0 0 0 0 0.185396 0.0455907 0.160343 0.21724 0.157697 0.0848363 0.090236 0.0586612 0 0 0 0
724.403 3.33826 308.069 280.426 1 1 0.2 0.5 0.8 1.3 1.5 1.9 2.2 2.9 3.4 3.9 4.4 4.9 0.0841435 0.164518 0.187783 0.12574 0.292587 0.0455125 0.0160896 0.0836271 0 0 0 0 0.100815 0.129119 0.221521 0.197733 0.131655 0.0554594 0.116995 0.0467027 0 0 0 0
727.067 3.35054 308.928 281.285 1 1 0.2 0.4 0.8 1.3 1.6 2 2.2 2.8 3.4 3.9 4.4 4.9 0.0475519 0.173854 0.217286 0.187326 0.272145 0.00206606 0.00144545 0.0983264 0 0 0 0 0.0867725 0.106286 0.272517 0.204132 0.133054 0.0737167 0.0701654 0.0533564 0 0 0 0
724.548 3.33893 308.116 280.473 1 1 0.3 0.4 0.8 1.2 1.5 1.8 2.3 2.9 3.4 3.9 4.5 5.1 0.0570099 0.185905 0.166661 0.132714 0.308091 0.0436154 0.0240348 0.0819702 0 0 0 0 0.152527 0.0577412 0.217582 0.199288 0.109327 0.126728 0.0973641 0.0394436 0 0 0 0
744.348 3.43017 314.424 286.782 1 1 0.2 0.6 0.7 0.9 1.4 1.7 2 2.6 3.1 3.7 4.3 4.9 0.0622089 0.223914 0.132754 0.04277 0.326475 0.0835528 0.00305806 0.125268 0 0 0 0 0.131303 3.48909e-05 0.205682 0.183604 0.170147 0.150678 0.0701233 0.0884269 0 0 0 0
726.827 3.34943 308.851 281.208 1 1 0.3 0.4 0.8 1 1.5 1.8 2.2 2.8 3.4 3.9 4.4 5 0.0428812 0.206432 0.1278 0.1096 0.390247 0.0194201 0.00413162 0.0994888 0 0 0 0 0.194706 0.00125314 0.172876 0.196979 0.186674 0.104724 0.0878749 0.0549122 0 0 0 0
724.351 3.33803 308.052 280.41 1 1 0.3 0.4 0.7 1.1 1.5 2.1 2.3 2.9 3.5 4.1 4.7 5.3 0.0239103 0.221409 0.116738 0.144099 0.375433 0.0167785 0.0187938 0.0828386 0 0 0 0 0.17138 0.0116413 0.188824 0.199724 0.229563 0.109017 0.0465149 0.043336 0 0 0 0
730.297 3.36542 309.965 282.322 1 1 0.0001 0.3 0.8 1.2 1.6 2.1 2.3 3 3.5 4.1 4.6 5.2 0.00248924 0.183653 0.245146 0.168101 0.290949 0.00174277 0.0405979 0.0673221 0 0 0 0 0.0415359 0.123975 0.285252 0.192378 0.151839 0.125487 0.0372665 0.0422666 0 0 0 0
731.095 3.3691 310.22 282.578 1 1 0.0001 0.6 0.8 1.2 1.6 2.1 2.3 3.4 3.4 4 4.5 5.1 0.0787313 0.123552 0.253693 0.215637 0.152185 0.0181295 0.13719 0.0208821 0 0 0 0 0.0885372 0.187177 0.15819 0.187243 0.20493 0.00474056 0.138408 0.0307741 0 0 0 0
724.386 3.33818 308.063 280.421 1 1 0.3 0.4 0.8 1.2 1.6 2 2.3 2.9 3.5 4 4.5 5 0.111894 0.111918 0.175719 0.220316 0.25736 0.0357476 0.0025284 0.0845169 0 0 0 0 0.127812 0.0960108 0.188508 0.23535 0.155221 0.077663 0.0771675 0.0422671 0 0 0 0
724.407 3.33828 308.07 280.427 1 1 0.2 0.4 0.9 1.5 1.6 2 2.3 2.9 3.4 4 4.5 5 0.0526049 0.176885 0.282462 0.225979 0.153292 0.0101571 0.0140511 0.0845698 0 0 0 0 0.0691301 0.154328 0.315341 0.208366 0.0732019 0.0449997 0.0951209 0.0395129 0 0 0 0
740.118 3.41068 313.091 285.448 1 1 0.2 0.6 0.7 1 1.4 1.7 2.1 2.7 3.1 3.6 4.2 4.7 0.0750067 0.146465 0.176937 0.119744 0.217407 0.141639 0.0198844 0.102917 0 0 0 0 0.128753 0.02729 0.208583 0.185671 0.124428 0.168757 0.084331 0.072187 0 0 0 0
760.536 3.50477 319.459 291.816 1 1 0.3 0.6 0.7 1 1.4 1.7 1.8 2.5 3 3.6 4.2 4.7 0.115466 0.127134 0.142397 0.108609 0.299154 0.058522 0.00322487 0.145492 0 0 0 0 0.188646 0.000240282 0.124306 0.26275 0.0858926 0.16638 0.0697293 0.102056 0 0 0 0
739.339 3.40709 312.845 285.202 1 1 0.0001 0.4 0.8 1.2 1.5 2 2.2 2.9 3.5 4 4.5 5.1 0.024643 0.159071 0.272302 0.161454 0.200044 0.0338066 0.0883412 0.0603382 0 0 0 0 0.0609339 0.138193 0.222049 0.243912 0.0814176 0.165837 0.0424407 0.0452154 0 0 0 0
739.042 3.40572 312.751 285.108 1 1 0.0001 0.5 0.8 1.2 1.6 2 2.1 2.9 3.4 3.9 4.5 5 0.0618957 0.113004 0.287058 0.20484 0.145904 0.0270642 0.0958365 0.0643981 0 0 0 0 0.0809144 0.145101 0.185765 0.273747 0.0637355 0.138334 0.0629577 0.0494464 0 0 0 0
739.72 3.40885 312.965 285.323 1 1 0.3 0.5 0.6 0.9 1.4 1.7 2.1 2.7 3.2 3.7 4.3 4.9 0.0778112 0.0691632 0.177251 0.164285 0.272726 0.115171 0.0168768 0.106717 0 0 0 0 0.197249 0.0018446 0.0108437 0.334649 0.13674 0.15738 0.0907596 0.070534 0 0 0 0
726.904 3.34979 308.875 281.233 1 1 0.0001 0.4 0.9 1.4 1.6 2 2.1 2.8 3.4 4 4.5 5.1 0.0168264 0.236082 0.231712 0.176428 0.234619 0.0026947 0.00386417 0.0977745 0 0 0 0 0.0312215 0.212551 0.258779 0.263248 0.00514777 0.100461 0.0710002 0.0575919 0 0 0 0
736.889 3.3958 312.068 284.425 1 1 0.3 0.4 0.8 1.2 1.6 1.9 2.2 2.8 3.3 3.8 4.4 5 0.00166721 0.212059 0.223681 0.204609 0.212285 0.0149438 0.0477243 0.0830306 0 0 0 0 0.0980266 0.145214 0.143776 0.291481 0.0855353 0.0986101 0.0849246 0.0524328 0 0 0 0
758.588 3.4958 318.859 291.216 1 1 0.3 0.6 0.8 0.9 1.4 1.7 1.7 2.5 3 3.5 4 4.5 0.108477 0.196465 0.0952413 0.0665039 0.347037 0.0290952 0.00988493 0.147295 0 0 0 0 0.197313 0.000290096 0.0404175 0.315214 0.0936623 0.192573 0.0531782 0.107352 0 0 0 0
729.555 3.362 309.727 282.085 1 1 0.0001 0.4 1 1.1 1.6 2 2.5 2.9 3.5 4 4.6 5.1 0.00204125 0.277008 0.196094 0.094366 0.334239 0.00492555 0.00532854 0.0859991 0 0 0 0 0.0381979 0.21512 0.155501 0.259017 0.0725248 0.200419 0.00979637 0.0494232 0 0 0 0
731.964 3.3731 310.498 282.856 1 1 0.2 0.5 0.6 0.8 1.3 1.6 3.4 2.4 2.9 3.5 4.1 4.7 0.0129663 0.268898 0.0974181 0.00608561 0.368344 0.0908338 0.0187363 0.136717 0 0 0 0 0.118034 0.0474417 0.0319817 0.29045 0.109364 0.257067 0.018813 0.126848 0 0 0 0
756.839 3.48774 318.319 290.676 1 1 0.2 0.5 0.9 0.9 1.4 1.7 1.7 2.5 3 3.6 4.2 4.7 0.0172258 0.309842 0.122942 0.00437031 0.375421 0.0184282 0.00294349 0.148828 0 0 0 0 0.11093 0.117844 0.0793972 0.241785 0.0984714 0.231762 0.0125903 0.107219 0 0 0 0
738.542 3.40342 312.592 284.95 1 1 0.0001 0.5 0.8 1.2 1.6 1.6 2.1 2.7 3.3 3.8 4.4 5 0.0436375 0.159713 0.28039 0.11508 0.278587 0.0021077 0.0136218 0.106862 0 0 0 0 0.0682552 0.177001 0.189545 0.18951 0.0257173 0.170485 0.113382 0.0661044 0 0 0 0
734.496 3.38478 311.307 283.664 1 1 0.3 0.5 0.8 1.2 1.6 1.6 2.2 2.9 3.4 3.9 4.5 5 0.120558 0.0690675 0.261583 0.196021 0.200026 0.000816669 0.0879444 0.0639833 0 0 0 0 0.157087 0.0887746 0.158845 0.240359 0.0453208 0.128604 0.14001 0.0409999 0 0 0 0
730.635 3.36698 310.073 282.431 1 1 0.3 0.6 1 0.9 1.5 2 2.3 3.1 3.5 4.1 4.7 5.3 0.156915 0.0649554 0.28505 0.108911 0.176129 0.0961118 0.0690002 0.0429276 0 0 0 0 0.172895 0.10503 0.0681053 0.176351 0.303176 0.00955449 0.138602 0.0262862 0 0 0 0
735.68 3.39023 311.683 284.041 1 1 0.2 0.4 0.8 1.2 1.6 1.9 2.2 2.8 3.3 3.9 4.4 5 0.0764454 0.0680811 0.34076 0.155148 0.177613 0.0679054 0.0333689 0.0806785 0 0 0 0 0.065561 0.152902 0.212091 0.195435 0.204598 0.000264261 0.123639 0.0455094 0 0 0 0
733.218 3.37889 310.899 283.257 1 1 0.0001 0.5 0.8 1.1 1.6 2 2.3 2.9 3.4 3.9 4.5 5 0.0741184 0.0606972 0.337571 0.15083 0.20072 0.0833531 0.025713 0.0669971 0 0 0 0 0.0680251 0.179768 0.166356 0.168246 0.266545 1.5979e-05 0.116482 0.0345627 0 0 0 0
733.664 3.38094 311.041 283.399 1 1 0.2 0.6 0.8 1.2 1.5 1.9 2.2 2.9 3.4 3.9 4.4 4.9 0.10398 0.0518621 0.331463 0.133973 0.162895 0.0945784 0.0559148 0.0653341 0 0 0 0 0.112983 0.175123 0.150656 0.126945 0.246306 0.00443571 0.14305 0.0405011 0 0 0 0
728.962 3.35927 309.537 281.894 1 1 0.0001 0.3 0.8 1.2 1.6 2 2.4 3.3 3.5 4 4.6 5.2 0.0677958 0.0433329 0.37553 0.184828 0.124882 0.10173 0.071728 0.0301737 0 0 0 0 0.00322454 0.181631 0.280384 0.121076 0.264255 0.0042406 0.124933 0.0202549 0 0 0 0
735.823 3.39089 311.729 284.086 1 1 0.2 0.7 0.8 1.3 1.5 1.8 2.2 2.8 3.3 3.8 4.3 4.9 0.104036 0.0515492 0.366643 0.101676 0.132485 0.135542 0.0226774 0.0853918 0 0 0 0 0.130935 0.117919 0.249596 0.0322809 0.28056 0.0195942 0.119817 0.0492981 0 0 0 0
734.768 3.38603 311.393 283.751 1 1 0.0001 0.5 0.8 0.9 1.5 1.9 2.3 2.8 3.3 3.8 4.3 4.9 0.0814881 0.0214109 0.355586 0.112536 0.209022 0.132126 0.00232151 0.0855099 0 0 0 0 0.078396 0.1214 0.269126 0.0413481 0.305059 0.045687 0.0984032 0.0405806 0 0 0 0
733.367 3.37957 310.947 283.304 1 1 0.2 0.4 0.8 1 1.4 1.8 2.2 2.9 3.4 4 4.5 5 0.0988807 0.0285347 0.338445 0.089543 0.185398 0.131748 0.0613797 0.0660707 0 0 0 0 0.0681187 0.144001 0.236827 0.0246305 0.30561 0.0401181 0.140354 0.0403401 0 0 0 0
736.419 3.39363 311.918 284.276 1 1 0.0001 0.5 0.7 1 1.5 1.8 2.2 2.8 3.2 3.7 4.2 4.8 0.0666116 0.0108945 0.3409 0.136717 0.24137 0.085835 0.0327316 0.0849407 0 0 0 0 0.0835355 0.0581173 0.269041 0.111321 0.286884 0.0232168 0.11732 0.0505649 0 0 0 0
724.878 3.34045 308.222 280.58 1 1 0.0001 0.4 0.9 1.4 1.6 1.8 2.4 3 3.6 4.2 4.8 5.3 0.0605226 0.137921 0.338206 0.0836293 0.232497 0.0516409 0.0268057 0.0687782 0 0 0 0 0.0465893 0.1721 0.33087 0.0487312 0.215909 0.0537812 0.104216 0.0278043 0 0 0 0
736.535 3.39417 311.955 284.313 1 1 0.2 0.6 0.8 1.3 1.5 1.9 2.2 2.8 3.3 3.8 4.4 5 0.0864225 0.11341 0.307671 0.0595623 0.257805 0.0576717 0.0327898 0.0846686 0 0 0 0 0.124431 0.0903563 0.271492 0.0751029 0.244557 0.0306667 0.113689 0.049704 0 0 0 0
745.239 3.43428 314.704 287.062 0.999999 1 0.0001 2.77556e-17 0.6 0.8 1.3 1.6 1.9 2.6 3 3.6 4.2 4.8 0.00019621 0.0401707 0.342991 0.0518801 0.252407 0.167631 0.0208703 0.123853 0 0 0 0 0.047455 0.0347283 0.218298 0.149479 0.249081 0.0535038 0.163264 0.0841928 0 0 0 0
728.433 3.35683 309.367 281.724 1 1 0.2 0.4 0.9 1.2 1.7 2.2 2.5 3.5 3.6 4.1 4.6 5.2 0.0971603 0.0664668 0.391092 0.11436 0.182843 0.0695273 0.057895 0.0206557 0 0 0 0 0.0547752 0.183859 0.244626 0.142307 0.247686 0.000478607 0.107361 0.0189061 0 0 0 0
738.594 3.40366 312.609 284.966 1 1 0.2 0.6 0.8 1.3 1.5 1.8 2.1 2.7 3.3 3.8 4.3 4.9 0.0951027 0.067972 0.356848 0.0610766 0.209673 0.0954424 0.0103692 0.103516 0 0 0 0 0.119526 0.124017 0.228264 0.117793 0.216829 0.000729365 0.13162 0.0612219 0 0 0 0
730.815 3.36781 310.131 282.488 1 1 0.2 0.4 0.8 1.1 1.5 2 2.3 3.1 3.5 4 4.5 5.1 0.102606 0.0280484 0.334373 0.134992 0.201652 0.0814495 0.074126 0.0427531 0 0 0 0 0.0615862 0.158174 0.211123 0.104442 0.285677 0.0171391 0.134582 0.0272761 0 0 0 0
738.869 3.40492 312.696 285.053 1 1 0.3 0.7 0.7 1 1.4 1.7 2 2.7 3.1 3.7 4.3 4.8 0.120599 0.00330669 0.290941 0.0968454 0.224897 0.138969 0.0172917 0.107151 0 0 0 0 0.183976 0.0421481 0.120109 0.171205 0.245602 0.000198827 0.169814 0.066947 0 0 0 0
735.221 3.38812 311.538 283.895 1 1 0.3 0.6 0.9 1.3 1.7 2 2.3 2.8 3.4 4 4.6 5.1 0.153506 0.0381944 0.369471 0.114107 0.177882 0.0553815 0.00810017 0.0833571 0 0 0 0 0.184919 0.0624041 0.2592 0.153156 0.202948 0.00141377 0.0939033 0.0420561 0 0 0 0
