Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
599.419 2.7623 263.752 236.11 1.03494 1.00375 0.5 0.4 0.5 1.1 1.4 1.9 2 2.7 3.1 3.7 4.3 4.8 0.278484 0.0746276 0.0227594 3.9439e-07 0.506094 0.00593349 6.30775e-07 0.147036 0 0 0 0 7.49974e-05 0.298464 0.00103227 0.303874 0.153268 8.83551e-07 0.191814 0.0552182 0 0 0 0
562.065 2.59016 248.696 221.053 1.06928 1.0805 0.0001 0.5 0.9 1.4 1.5 1.6 2.4 3.3 3.1 3.7 4.3 4.9 0.0630949 0.207614 0.202062 0.252948 0.024488 0.132289 0.102308 0.0844799 0 0 0 0 0.0568793 0.232385 0.229639 3.09373e-06 0.293068 0.0760212 0.170031 0.0224708 0 0 0 0
540.678 2.4916 239.618 211.976 1.10203 1.06547 0.0001 0.6 0.9 1.5 1.7 1.9 2.6 3.7 3.6 4.1 4.6 5.2 0.0741068 0.273879 0.124729 0.424253 1.60729e-05 1.46131e-06 0.132528 0.0725151 0 0 0 0 0.0933669 0.164298 0.322862 0.0497172 0.307279 0.00139257 0.12579 0.000765546 0 0 0 0
580.369 2.67451 256.195 228.552 1.04572 1.06336 0.0001 0.5 0.8 1.3 1.4 2.1 1.7 2.9 3.2 3.7 4.2 4.7 0.00973493 0.374434 0.00519533 0.000899136 0.421164 4.60935e-07 0.102307 0.131987 0 0 0 0 0.0480879 0.272768 0.0756351 0.396039 6.58329e-07 0.213804 1.60317e-08 0.0570299 0 0 0 0
552.193 2.54467 244.549 216.907 1.09606 1.02244 0.2 0.5 0.8 1.4 1.5 1.8 2.5 3.6 3.3 3.8 4.4 4.9 0.0485408 0.291764 0.0481896 0.488681 7.2513e-10 7.24044e-09 0.148224 0.0706617 0 0 0 0 0.124976 0.0378609 0.356988 4.47799e-08 0.279237 0.103037 0.120336 3.7388e-11 0 0 0 0
554.97 2.55746 245.723 218.081 1.09601 1.01461 0.2 0.5 0.8 1.4 1.5 2 2.5 3.6 3.3 3.8 4.4 5 0.0484739 0.291603 0.048893 0.488389 3.79191e-05 6.55682e-09 0.149156 0.0694522 0 0 0 0 0.114674 0.0715066 0.319619 4.57114e-07 0.335052 0.0652595 0.108496 9.93363e-11 0 0 0 0
580.414 2.67472 256.213 228.571 1.04592 1.06489 0.2 0.5 0.8 1.3 1.4 2.1 1.5 2.9 3.1 3.7 4.2 4.7 0.00808341 0.382597 0.00304809 1.11394e-05 0.241867 0.00930625 0.26823 0.132779 0 0 0 0 0.0751814 0.230415 0.094027 0.392818 2.7149e-06 0.215163 4.08001e-05 0.0572373 0 0 0 0
562.532 2.59231 248.89 221.248 1.06913 1.08193 0.3 0.5 0.9 1.4 1.5 1.7 2.4 3.3 3.2 3.7 4.2 4.7 0.165458 0.0770616 0.231522 0.298121 0.0220559 0.0907362 0.099419 0.0847555 0 0 0 0 0.150993 0.110067 0.264154 6.77872e-06 0.31723 0.047036 0.169155 0.0232852 0 0 0 0
552.57 2.54641 244.709 217.067 1.08807 1.04408 0.3 0.1 0.8 1.5 1.6 1.7 2.5 3.5 3.5 4 4.5 5.1 0.0872242 0.061206 0.344206 0.389727 0.000255833 0.0057257 0.124865 0.0748593 0 0 0 0 0.061647 0.0746975 0.406549 0.000318873 0.35917 0.00346156 0.134674 0.00355726 0 0 0 0
575.23 2.65083 254.114 226.471 1.05059 1.07639 0.3 0.5 0.9 0.7 1.4 1.5 2.2 3 3.3 3.8 4.4 4.9 0.115334 0.161463 0.183403 0.0134885 0.0160346 0.402371 0.0419081 0.116585 0 0 0 0 0.134097 0.153913 0.183001 0.00323656 0.35694 4.90642e-06 0.197538 0.0476612 0 0 0 0
579.788 2.67183 255.96 228.318 1.04632 1.05941 0.3 0.4 0.6 1.2 1.4 1.7 2.1 2.9 3.3 3.8 4.3 4.9 0.00429841 0.181176 0.210455 0.000528178 0.408192 0.109657 3.36586e-07 0.132008 0 0 0 0 0.000241836 0.279772 0.054584 0.347454 0.106749 1.00487e-09 0.21652 0.0540887 0 0 0 0
543.219 2.50331 240.715 213.073 1.0941 1.08087 0.0001 0.7 0.9 1.3 1.7 1.8 2.6 3.6 3.7 4.2 4.7 5.2 0.0949559 0.336747 4.65282e-07 0.269056 0.207803 7.47084e-07 0.109467 0.0760674 0 0 0 0 0.0986846 0.269531 0.18036 0.071008 0.325078 3.10519e-09 0.132713 0.00349814 0 0 0 0
575.817 2.65353 254.352 226.71 1.05032 1.07952 0.3 0.5 0.8 0.5 1.4 1.5 2.2 3 3.4 3.9 4.4 4.9 0.139641 0.039665 0.235599 0.0462222 0.0291274 0.40372 0.0391725 0.117172 0 0 0 0 0.163148 0.0613998 0.233874 0.00460398 0.370241 1.67728e-05 0.196611 0.049628 0 0 0 0
575.288 2.6511 254.137 226.495 1.05054 1.07634 0.3 0.5 0.8 0.9 1.4 1.5 2.2 3 3.3 3.9 4.4 5 0.117233 0.154659 0.0629912 0.131812 0.0416511 0.38309 0.0427059 0.116395 0 0 0 0 0.136107 0.148146 0.0213625 0.167709 0.35796 1.09717e-07 0.197351 0.0477045 0 0 0 0
576.553 2.65693 254.651 227.009 1.04983 1.08037 0.2 0.5 0.7 1.4 1.5 2 2.2 3 3.3 3.9 4.5 5.1 0.0983718 0.0581248 0.276808 0.267787 0.155082 0.0762264 6.96266e-07 0.117429 0 0 0 0 0.114193 0.0275736 0.310678 0.382666 1.69522e-07 1.68855e-10 0.194089 0.0511729 0 0 0 0
562.277 2.59114 248.784 221.142 1.06916 1.08064 0.3 0.6 0.9 1.3 1.5 1.6 2.4 3.3 3.4 3.9 4.4 4.9 0.169719 0.117316 0.151052 0.215585 0.0825222 0.146043 0.102667 0.0842607 0 0 0 0 0.172186 0.107198 0.245545 2.77189e-05 0.268707 0.0947771 0.169586 0.0226158 0 0 0 0
544.959 2.51133 241.464 213.821 1.09404 1.07411 0.3 0.8 0.9 1.2 1.7 1.9 2.6 3.6 3.7 4.2 4.7 5.2 0.197188 0.197462 9.92979e-05 0.279871 0.235539 8.02583e-07 0.108815 0.0750648 0 0 0 0 0.202065 6.53192e-07 0.357252 0.0641156 0.293029 0.0275086 0.126234 0.0039047 0 0 0 0
545.276 2.51279 241.6 213.957 1.10172 1.04283 0.3 0.6 0.9 1.5 1.6 2.1 2.6 3.7 3.5 4.1 4.7 5.3 0.161489 0.130448 0.189868 0.414706 8.53091e-09 1.77021e-08 0.136555 0.0686484 0 0 0 0 0.196309 0.0122093 0.361834 7.42041e-08 0.307852 0.0644992 0.100126 6.27869e-10 0 0 0 0
