Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
6684.49 30.8041 828.063 800.421 1 2.12124 0.3 0.5 0.9 1.4 1.7 2.1 2.4 3.1 3.5 4.1 4.6 5.2 0.210784 0.0723882 0.249282 0.267242 0.0693353 0.0470738 0.0838974 6.93397e-09 0 0 0 0 4.47161e-08 3.59056e-07 0.0221623 0.0856632 0.338865 0.056753 0.999997 0.617796 0 0 0 0
8169.01 37.6452 874.993 847.351 1 1.77993 0.2 0.5 0.6 1.1 1.2 1.9 2 2.7 3.2 3.7 4.2 4.8 0.103774 0.0217962 0.220159 0.30353 0.165959 0.157991 0.0257608 0.00103057 0 0 0 0 5.51434e-11 8.61894e-12 5.87709e-11 0.221023 0.201072 0.839911 0.00819816 0.509726 0 0 0 0
7681.1 35.3968 860.583 832.94 1 1.95726 0.0001 0.6 0.9 1.2 1.6 2.1 2 2.8 3.4 4 4.6 5.2 0.0717517 0.263189 0.215926 0.133887 0.24957 0.0655151 0.000148762 1.42165e-05 0 0 0 0 1.09101e-07 3.55521e-12 1.0288e-07 0.466584 0.0541448 5.3467e-07 0.893837 0.542695 0 0 0 0
6737.59 31.0488 829.915 802.272 1 2.03649 0.2 0.1 0.8 1.2 1.3 2 2.3 2.9 3.5 4.1 4.7 5.2 5.31078e-07 0.146752 0.375312 0.0827827 0.160405 0.203927 0.0308211 4.75667e-09 0 0 0 0 1.15444e-08 0.000823502 8.59408e-09 3.44294e-10 0.220042 0.49883 0.538679 0.778115 0 0 0 0
6735.54 31.0393 829.843 802.201 1 2.04081 0.0001 0.7 0.8 1.2 1.8 2 2.3 2.9 3.5 4.1 4.6 5.1 0.115827 0.11312 0.33136 0.139814 0.105012 0.193916 0.000952073 3.41696e-09 0 0 0 0 1.74112e-08 2.85188e-10 2.0536e-09 0.163748 0.301135 0.158717 0.678211 0.739002 0 0 0 0
6701.91 30.8844 828.672 801.029 1 2.04614 0.2 0.6 0.9 1.3 1.8 2 2.3 2.9 3.5 4 4.6 5.2 0.155234 0.0744235 0.39989 0.0868305 0.0449623 0.238285 0.00037549 8.52861e-08 0 0 0 0 1.4402e-08 2.40883e-07 1.27749e-06 0.224337 2.93259e-05 0.493346 0.54597 0.782457 0 0 0 0
736.728 3.39506 312.017 284.374 1 1.02881 0.2 0.1 0.7 1.1 1.5 1.6 2.2 2.8 3.2 3.7 4.2 4.8 0.079819 0.00041241 0.374117 0.0934779 0.161709 0.166932 0.0271974 0.0963345 0 0 0 0 0.0804652 0.0358109 0.313204 0.124876 0.178257 0.108451 0.129063 0.0586818 0 0 0 0
739.063 3.40582 312.757 285.114 1 1.04347 0.0001 0.5 0.8 1.3 1.5 1.8 2.1 2.9 3.4 3.9 4.4 4.9 0.0739862 0.0303668 0.435368 0.0798707 0.117845 0.163319 0.017652 0.0815924 0 0 0 0 0.0958462 0.0717966 0.319649 0.220676 0.0129863 0.106791 0.146493 0.0692305 0 0 0 0
730.842 3.36794 310.14 282.497 1 1.03532 0.0001 0.3 0.7 1.2 1.6 2 2.2 2.9 3.4 4 4.6 5.1 0.0706304 0.000299659 0.360504 0.245058 0.125532 0.118894 0.00275512 0.0763272 0 0 0 0 0.000320597 0.177058 0.216819 0.26059 0.176953 1.65169e-05 0.151552 0.0520114 0 0 0 0
733.9 3.38203 311.117 283.474 1 1.01985 0.2 0.6 0.9 1.4 1.7 1.8 2.1 2.8 3.3 3.9 4.5 5.1 0.103003 0.0988992 0.381085 0.108146 0.0667428 0.143801 0.0077022 0.0906217 0 0 0 0 0.109997 0.217219 0.14796 0.318147 0.000565428 2.21084e-06 0.166321 0.0596387 0 0 0 0
727.568 3.35285 309.089 281.447 1 1.05798 0.0001 0.4 0.8 1.3 1.5 2 2.2 3 3.5 4 4.5 5 0.0663555 0.0502079 0.392711 0.166375 0.102882 0.1484 0.0047724 0.0682965 0 0 0 0 0.00814177 0.267767 0.122957 0.370138 0.0246654 0.0509834 0.158393 0.0549378 0 0 0 0
740.961 3.41457 313.357 285.715 1 1.01547 0.2 0.5 0.8 1.3 1.5 1.9 2 2.8 3.3 3.8 4.3 4.8 0.0941375 0.0466756 0.3652 0.153666 0.110935 0.134264 0.00714225 0.0879797 0 0 0 0 0.145611 8.87475e-05 0.33638 0.241114 9.9956e-05 0.0832215 0.145995 0.0629559 0 0 0 0
731.628 3.37156 310.391 282.749 1 1.04359 0.0001 0.5 0.9 1.6 1.5 1.9 2.2 2.9 3.3 3.9 4.4 4.9 0.0633357 0.120618 0.409911 0.118007 0.0900798 0.100183 0.0178947 0.0799702 0 0 0 0 0.0669531 0.19744 0.263483 0.000136109 0.305295 1.21112e-09 0.153105 0.0571781 0 0 0 0
732.625 3.37615 310.71 283.067 1 1.04996 0.0001 0.4 0.8 1.3 1.5 1.8 2.1 2.9 3.4 3.9 4.5 5 0.0532939 0.0723422 0.394898 0.114625 0.108883 0.148819 0.0220271 0.0851121 0 0 0 0 0.0142398 0.252971 0.135111 0.378785 0.000109393 1.70107e-06 0.205521 0.0632241 0 0 0 0
727.072 3.35056 308.93 281.287 1 1.05333 0.0001 0.4 0.9 1.4 1.7 2 2.2 3 3.4 4 4.5 5.1 0.0599487 0.0931836 0.443665 0.110326 0.099659 0.108905 0.0174453 0.0668676 0 0 0 0 0.0146505 0.255705 0.20736 0.334431 7.26934e-06 0.010233 0.179171 0.0517701 0 0 0 0
737.931 3.40061 312.399 284.756 1 1.05181 0.3 0.4 0.8 1.1 1.5 1.8 2.1 2.9 3.3 3.8 4.4 5 0.1435 0.00309343 0.311301 0.145986 0.148824 0.13154 0.0325613 0.0831939 0 0 0 0 0.209372 8.17293e-05 0.127255 0.346444 0.0112117 0.149157 0.138551 0.0697386 0 0 0 0
718.218 3.30976 306.062 278.42 1 1.09952 0.0001 0.5 0.9 0.8 1.5 1.8 2.3 3.3 3.2 3.8 4.3 4.9 0.0807949 0.0684469 0.381696 0.0680595 0.14705 0.117382 0.0986865 0.0378848 0 0 0 0 0.0888864 0.0968148 0.0774289 0.261913 0.327847 4.43257e-06 0.188809 0.0578214 0 0 0 0
732.459 3.37539 310.657 283.014 1 1.04314 0.2 0.6 0.9 1.6 1.6 1.9 2.3 2.9 3.3 3.8 4.3 4.9 0.112924 0.0493182 0.449445 0.0598336 0.13149 0.106552 0.0107413 0.0796975 0 0 0 0 0.129412 0.114555 0.31926 0.199491 0.108381 2.59777e-09 0.119876 0.0521667 0 0 0 0
733.874 3.38191 311.108 283.466 1 1.04403 0.3 1.8 0.7 0.9 1.3 1.6 2.2 2.9 3.2 3.8 4.3 4.8 0.117625 0.00661498 0.296456 0.0462831 0.218746 0.173369 0.0619161 0.0789899 0 0 0 0 0.174676 0.0691384 0.236297 4.04939e-05 0.341233 0.0171792 0.150387 0.0550803 0 0 0 0
738.471 3.40309 312.57 284.927 1 1.01405 0.2 0.5 0.8 1.4 1.5 1.8 2.1 2.8 3.3 3.8 4.4 4.9 0.0859127 0.0512572 0.393325 0.0683503 0.185436 0.118214 0.00543211 0.0920726 0 0 0 0 0.11275 0.0890453 0.278749 0.247506 0.065535 0.000145203 0.156155 0.0641627 0 0 0 0
727.647 3.35321 309.114 281.472 1 1.05492 0.0001 0.6 0.8 1.3 1.5 2 2.2 3 3.5 4 4.5 5.1 0.080858 0.0340743 0.413189 0.0926116 0.173925 0.113061 0.0255451 0.0667365 0 0 0 0 0.0688408 0.339304 0.000121621 0.286989 0.122631 1.8872e-06 0.184393 0.0526402 0 0 0 0
717.492 3.30641 305.826 278.183 1 1.06048 0.3 0.4 1 1.5 1.6 2 2.2 3 3.6 4.2 4.8 5.3 0.160931 0.0647385 0.366598 0.0674617 0.189604 0.0720016 0.000997289 0.0776679 0 0 0 0 0.0580866 0.214467 0.29741 0.24583 0.0121051 0.00245736 0.171707 0.0584211 0 0 0 0
