Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
646.255 2.97813 281.357 253.714 1.07292 1.03438 0.2 0.5 0.8 1.4 1.5 1.6 2.3 3.2 3.3 3.8 4.4 4.9 0.136358 0.0058018 0.339868 0.220912 0.0213028 0.167972 0.078655 0.102054 0 0 0 0 0.0880957 0.16698 0.202958 0.266804 0.10772 2.57005e-06 0.170063 0.0317575 0 0 0 0
646.013 2.97702 281.269 253.627 1.07314 1.03542 0.2 0.5 0.8 1.4 1.5 1.8 2.3 3.2 3.3 3.8 4.3 4.8 0.131596 0.0267762 0.306828 0.343019 0.000662884 0.0934136 0.0674857 0.103355 0 0 0 0 0.087478 0.169224 0.200314 0.273512 0.101888 0.000103514 0.170801 0.032096 0 0 0 0
657.244 3.02877 285.302 257.66 1.0632 1.01497 0.0001 0.6 0.8 0.9 1.5 1.4 2.2 3 3.3 3.9 4.4 5 0.0635366 0.280777 0.0916439 0.0213504 0.449579 0.00322897 0.0259038 0.12718 0 0 0 0 0.0729171 0.297702 0.01897 0.0612277 3.05364e-06 0.35674 0.16958 0.0378344 0 0 0 0
648.779 2.98976 282.269 254.626 1.10388 0.943902 0.2 0.5 0.6 1.1 1.5 1.4 2.2 3.6 3.2 3.7 4.3 4.8 0.133368 8.26439e-08 0.106366 0.529747 1.2367e-09 3.41667e-10 0.258505 0.0758881 0 0 0 0 0.108203 0.00537164 0.2339 0.207209 0.125324 0.106582 0.152354 0.00495813 0 0 0 0
661.731 3.04945 286.895 259.252 1.09507 0.918468 0.3 0.5 0.6 0.9 1.4 1.5 2.2 3.5 3.1 3.7 4.2 4.7 0.178824 1.44484e-08 2.71006e-08 0.374804 0.247792 1.02963e-07 0.21777 0.0758804 0 0 0 0 0.129351 0.152205 0.00147035 0.174271 0.324685 1.35585e-08 0.135933 0.000552892 0 0 0 0
677.431 3.1218 292.382 264.739 1.07924 0.9283 0.3 0.5 0.7 0.8 1.4 1.5 2.2 3.3 3.1 3.7 4.2 4.7 0.155231 1.36421e-08 4.19051e-08 0.340971 0.321747 3.73944e-09 0.186911 0.0743836 0 0 0 0 0.159512 0.0641431 2.60737e-06 0.223918 0.338059 1.53292e-08 0.137561 0.00510401 0 0 0 0
656.929 3.02732 285.19 257.548 1.06337 1.01272 0.2 0.4 0.5 0.8 1.4 1.5 2.2 3 3.4 4 4.5 5 0.0761565 0.00176147 0.162397 0.222812 4.3849e-05 0.445444 0.0279669 0.126786 0 0 0 0 0.0622809 0.142633 0.0199107 0.232356 0.348694 6.46653e-06 0.170838 0.0359977 0 0 0 0
646.135 2.97758 281.314 253.671 1.07301 1.03496 0.2 0.5 0.8 1.4 1.5 1.7 2.3 3.2 3.3 3.9 4.4 4.9 0.134062 0.0164918 0.321963 0.305965 7.76341e-06 0.118071 0.0737673 0.102687 0 0 0 0 0.0877214 0.168346 0.201319 0.271561 0.10313 0.000484126 0.170448 0.0319547 0 0 0 0
695.674 3.20587 298.6 270.957 1.04662 0.959295 0.4 0.5 0.6 1.1 1.4 1.8 2 2.8 3.2 3.7 4.3 4.8 0.166834 0.116468 0.0854635 0.0544401 0.409856 0.0848355 7.75288e-06 0.128719 0 0 0 0 0.295972 7.04586e-11 6.77639e-11 0.302272 0.140025 1.79761e-11 0.176684 0.0443411 0 0 0 0
649.591 2.99351 282.562 254.919 1.06892 1.02386 0.3 0.4 0.8 0.9 1.5 1.6 2.3 3.1 3.5 4.1 4.6 5.1 0.191421 0.00119973 0.000142062 0.347654 0.117786 0.25432 0.0410058 0.115391 0 0 0 0 0.116724 0.117638 0.0230666 0.264317 0.313109 0.00395435 0.155061 0.0299865 0 0 0 0
630.101 2.90369 275.433 247.791 1.09285 1.05166 0.0001 0.5 0.7 1.4 1.5 2.2 2.7 3.6 3.4 3.9 4.4 5 0.0556025 0.168331 0.195716 0.236322 0.241214 0.031271 0.0973109 0.0670807 0 0 0 0 0.0880587 1.0211e-07 0.392766 0.0816401 0.282687 0.1159 0.0749605 0.0156455 0 0 0 0
649.568 2.9934 282.554 254.911 1.06889 1.02389 0.3 0.5 0.8 0.9 1.5 1.6 2.3 3.1 3.4 4 4.5 5.1 0.192007 0.00039643 0.00184765 0.345889 0.119527 0.252719 0.0412023 0.115305 0 0 0 0 0.160925 0.0859248 0.00770617 0.266064 0.316499 0.00174982 0.154951 0.0300732 0 0 0 0
693.246 3.19468 297.782 270.139 1.05205 0.987712 0.2 0.5 0.6 1.2 1.4 1.5 2.1 3 3.2 3.8 4.3 4.8 0.062918 6.87968e-05 0.31869 0.286297 2.35612e-05 0.147876 0.147239 0.0889374 0 0 0 0 0.0655108 0.263327 0.0104529 0.316407 0.105697 0.000360454 0.188328 0.0376284 0 0 0 0
677.62 3.12267 292.447 264.804 1.07942 0.928183 0.3 0.6 0.5 0.8 1.4 1.5 2.2 3.3 3.2 3.8 4.3 4.8 0.154166 1.61742e-07 0.00258111 0.3389 0.322445 1.62783e-07 0.186877 0.0744505 0 0 0 0 0.159552 3.84118e-07 0.0640512 0.223969 0.337951 2.70159e-05 0.137456 0.00517613 0 0 0 0
661.609 3.04889 286.851 259.209 1.06476 0.992764 0.3 0.5 0.9 1.4 1.5 1.5 2.1 3 3.3 3.9 4.5 5 0.102199 0.187454 0.181524 0.0541842 0.0391476 0.328087 0.0497658 0.1224 0 0 0 0 0.205855 6.85136e-09 0.316921 0.243498 3.92987e-10 4.35868e-12 0.188805 0.0376857 0 0 0 0
