Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
464.676 1.9858 218.071 175.389 1 1 0.2 0.5 0.7 1.1 1.4 1.7 2.3 2.5 3.1 3.8 4.1 5.2 0.048099 0.0997207 0.158096 0.233855 0.0726074 0.193483 0.0909715 0.0426257 0.0473799 0.0130933 6.93133e-05 7.33971e-08 0.0965531 0.0660007 0.140254 0.217675 0.114645 0.136225 0.112192 0.0384618 0.0400402 0.0169956 0.0165001 0.00445713
813.309 3.47568 363.051 320.369 1 1 0.0001 0.5 0.9 1.2 1.6 1.6 2.2 2.6 3.3 3.8 4.7 5.2 0.046483 0.126242 0.233153 0.208109 0.000691006 0.121193 0.202308 9.20113e-08 0.0609175 5.65862e-10 0.000903918 2.65649e-12 0.0557745 0.17952 0.126607 0.223353 0.10611 0.0579602 0.104206 0.0875017 0.00161653 0.0446976 3.41633e-09 0.0126534
536.926 2.29456 255.502 212.82 1 1 0.0001 0.4 0.7 1.2 0.6 1.8 2.2 2.7 3.2 3.4 4.6 5.5 0.0655009 0.0517227 0.0852551 0.359502 0.0706282 0.230038 0.0176787 0.0523073 0.0493969 0.0179697 3.63336e-09 4.82051e-08 0.0484852 0.0654872 0.111086 0.287576 0.105091 0.189567 0.0725032 0.0540724 0.0426476 0.00764675 0.00852584 0.00731256
459.053 1.96176 214.917 172.235 1 1 0.0001 0.4 0.6 1 1.4 1.5 2.1 2.7 3.4 3.5 4 4.2 0.0273755 0.0461952 0.189828 0.223516 0.0381098 0.221501 0.142682 0.0742312 0.033209 0.000700999 1.41212e-05 0.0026369 0.0497627 0.0880543 0.115461 0.222054 0.147975 0.097511 0.150418 0.0830044 0.00564516 0.0169169 0.023195 2.70804e-06
459.893 1.96536 215.391 172.709 1 1 0.2 0.4 0.7 1.1 1.5 1.6 2.2 2.7 3.2 3.7 4.1 5.2 0.0402462 0.0673236 0.213769 0.21136 0.0778893 0.164049 0.128596 0.0516161 0.0318376 0.0132734 4.00669e-05 7.85361e-10 0.0864084 0.0587582 0.156178 0.23619 0.103307 0.106005 0.133076 0.0614458 0.0153968 0.0200633 0.0170061 0.00616666
822.362 3.51437 365.918 323.236 1 1 0.2 0.4 0.8 1.2 1.5 2 2.4 2.6 3.3 3.8 4.6 5.2 0.0725111 0.0405029 0.251053 0.265888 0.0556234 0.176394 0.0783169 1.83349e-05 0.0584589 2.17805e-09 0.00123485 3.96158e-09 0.081154 0.0832415 0.199891 0.193283 0.16197 0.0911813 0.0704337 0.0623327 0.00700284 0.040376 6.87679e-08 0.00913432
808.559 3.45538 361.534 318.852 1 1 0.2 0.6 0.9 1.2 1.7 1.7 2.2 3 3.3 2.4 4.3 4.6 0.080249 0.110779 0.20125 0.240217 0.0179513 0.0996113 0.182475 6.40607e-07 0.0637235 0.0037435 6.13259e-09 3.50342e-07 0.0938294 0.157821 0.157728 0.16097 0.153578 0.0583502 0.10741 0.0771807 0.00556098 0.0016711 0.0258972 2.98639e-06
835.038 3.56854 369.88 327.198 1 1 0.0001 0.3 0.8 1.2 1.5 1.8 2.3 2.6 3.3 3.8 3.8 5.3 0.0194767 0.0928545 0.246145 0.288693 4.18687e-05 0.143245 0.152742 3.69914e-10 0.0567083 6.49607e-06 8.72127e-05 2.27574e-10 0.0118439 0.144449 0.211259 0.191653 0.143549 0.0703734 0.0982728 0.0734009 0.00265757 0.0399416 0.00290831 0.00969213
555.948 2.37584 264.518 221.836 1 1 0.0001 0.4 0.8 1.3 1.5 1.8 2 2.9 3.4 2.3 3.9 4.9 0.0615147 0.0864455 0.193356 0.336114 0.0023865 0.0992376 0.110349 0.0720753 0.0385149 6.21984e-06 1.1983e-07 6.1003e-07 0.0403647 0.126486 0.231876 0.231297 0.0458213 0.014534 0.18632 0.0798871 0.0183877 0.0106595 0.00522435 0.00914162
813.733 3.47749 363.186 320.504 1 1 0.0001 0.5 0.9 1.2 1.5 1.9 2.3 2.6 3.3 3.8 3.4 5.2 0.0450561 0.132473 0.213267 0.242088 0.0373458 0.143128 0.125728 1.05337e-05 0.0595907 1.66732e-06 0.0013118 1.33551e-08 0.0561341 0.178807 0.128206 0.211879 0.125713 0.0891724 0.0709971 0.0823416 0.000225649 0.041981 0.00346574 0.0110772
460.483 1.96788 215.723 173.041 1 1 0.2 0.5 0.8 1.2 1.5 1.7 2.2 2.6 3.1 3.6 4 4.4 0.0469827 0.122477 0.205117 0.192529 0.0908512 0.12874 0.104366 0.0559233 0.0331434 0.0189199 4.41401e-06 0.000946285 0.0947829 0.0910483 0.172604 0.215791 0.0959006 0.0877984 0.115488 0.0645682 0.0257471 0.0154227 0.0208425 5.71957e-06
459.944 1.96557 215.42 172.738 1 1 0.2 0.5 0.8 1.2 1.5 1.8 2.3 2.6 3.2 3.8 4.1 4.3 0.0467504 0.123545 0.203497 0.19196 0.118643 0.129227 0.0864847 0.0486541 0.0417366 0.0095021 2.322e-07 6.45246e-11 0.0933531 0.0974814 0.160089 0.236266 0.0834754 0.117216 0.0932846 0.0572494 0.0306449 0.0178076 0.0128221 0.000311152
