Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
451.547 1.92969 210.647 167.966 1.00599 1.10017 0.2 0.6 0.7 1.2 1.3 1.6 1.9 2.4 3 3.4 4.2 4.6 0.0611616 0.0669629 0.220275 0.236124 1.64479e-10 0.162149 0.0775359 0.113875 0.0292415 0.0317719 0.00689192 2.14544e-11 0.093193 0.110376 0.139309 0.265951 2.47053e-05 0.0747986 0.170529 0.081927 0.068308 0.0389138 0.0226905 0.0341511
560.335 2.39459 266.554 223.872 1.00539 1.43105 0.0001 0.5 0.9 1.2 1.5 2.1 2.6 3.4 3.7 4.2 5 5.1 0.042898 0.139789 0.201861 0.240887 0.0701812 0.225227 0.0219619 0.0625872 1.0499e-11 1.12521e-13 2.75335e-14 1.13132e-13 0.057449 0.18478 0.146678 0.181276 0.205612 0.158905 0.167211 0.101747 0.0440551 0.0938274 0.0756096 0.0139008
451.134 1.92792 210.411 167.729 1.0058 1.09398 0.0001 0.5 0.8 1 1.4 1.6 2.1 2.6 3.2 3.6 4.4 4.5 0.0308818 0.144931 0.180567 0.0897431 0.221289 0.0855238 0.128191 0.0709497 0.031064 0.019701 0.0029566 5.86851e-11 0.0502931 0.188588 0.0131161 0.274236 0.000904112 0.241787 0.117331 0.073848 0.0678028 0.0171429 0.0134673 0.0354628
451.047 1.92755 210.36 167.678 1.00559 1.16308 0.0001 0.5 0.8 1 1.5 1.8 2.2 2.8 3.4 4 4.4 5.2 0.0300163 0.152922 0.142844 0.150625 0.28784 0.00124778 0.146032 0.0529953 0.0326591 0.00841338 4.00905e-11 3.03091e-14 0.0517568 0.178053 0.0556253 0.223452 0.191938 0.103924 0.12087 0.084496 0.07427 4.62505e-10 0.0645888 0.0141081
450.526 1.92532 210.061 167.379 1.0059 1.0874 0.3 0.7 0.9 1 1.5 1.8 2.2 2.6 3.2 3.6 4.2 4.6 0.102193 0.183327 0.0365559 0.161693 0.261357 0.0383211 0.107786 0.0596314 0.0326792 0.0183629 0.00398847 1.61935e-10 0.154387 0.11753 4.14038e-06 0.240873 0.172751 0.114313 0.100749 0.0496453 0.0832765 4.01869e-09 0.0257882 0.0280845
558.563 2.38702 265.734 223.052 1.008 1.08758 0.1 0.5 0.6 1 1.4 1.9 2.2 2.9 3.4 4.3 4.6 5.4 0.055243 0.0421717 0.117908 0.300946 0.177656 0.0626974 0.181688 0.00358079 0.0634166 8.61256e-13 0.00269013 1.32011e-12 0.0658027 0.0453111 0.169394 0.206604 0.175386 0.188514 0.0515808 0.100907 0.023439 0.0419079 0.00135641 0.0173749
497.057 2.12417 235.518 192.836 1.00592 1.244 0.2 0.4 0.9 1.3 1.7 2 2.3 2.9 3.3 3.8 4.2 5 0.0962223 0.0636748 0.234782 0.236583 0.163838 0.0795393 0.0202781 0.0595715 0.0514315 5.11857e-12 1.81616e-12 3.0587e-06 0.0728498 0.114192 0.255731 0.196484 0.166093 1.68473e-10 0.163424 0.0866473 0.0191009 0.0775278 0.0223898 0.0695604
450.393 1.92476 209.985 167.303 1.0057 1.08961 0.3 0.6 0.9 1 1.5 1.7 2.2 2.6 3.2 3.7 4.3 4.8 0.0964049 0.105763 0.217887 0.0612321 0.253297 0.0439568 0.114997 0.0568701 0.035303 0.0191302 0.000853007 6.57575e-09 0.14938 0.0768116 0.0589337 0.238922 0.104922 0.161997 0.111647 0.0471668 0.0836426 0.000197785 0.0401614 0.0158321
450.268 1.92422 209.913 167.231 1.0055 1.10479 0.0001 0.5 0.7 1.2 1.6 2 2.3 2.9 3.5 3.6 4.5 5.5 0.0355236 0.083499 0.228026 0.233989 0.186024 0.0440553 0.111401 0.0505533 0.00852211 0.0232098 0.000693986 3.05478e-13 0.0546187 0.125914 0.16247 0.257744 0.115664 0.153695 0.0438404 0.0874222 0.0441252 1.43219e-14 0.0521907 0.00710558
449.536 1.92109 209.491 166.809 1.00564 1.16851 0.0001 0.5 0.7 1.1 1.5 1.9 2.3 2.8 3.4 4 4.5 5.5 0.0335439 0.103412 0.187841 0.188867 0.221283 0.0760228 0.106505 0.0457214 0.0344457 0.00800273 4.54538e-10 2.60902e-15 0.0567142 0.122075 0.150991 0.203335 0.167048 0.151384 0.0751459 0.0819434 0.0720416 0.00938133 0.0639923 0.0144603
567.446 2.42498 269.82 227.138 1.00688 1.05368 0.1 0.5 1 1.1 1.4 1.8 2.2 2.7 3.3 3.4 4.4 4.6 0.0473203 0.140754 0.349527 5.06875e-09 0.135667 0.0810505 0.182762 0.002312 0.0296881 0.0360694 0.00173046 2.50572e-11 0.0532736 0.194026 0.141443 0.194405 8.94073e-10 0.272613 0.0196898 0.0939169 0.0499649 3.41733e-11 0.0343476 2.93393e-10
451.418 1.92913 210.573 167.891 1.00561 1.07349 0.1 0.5 0.9 1.3 1.7 2 2.4 3 3.4 3.8 4.5 4.9 0.0298471 0.172673 0.230691 0.183717 0.183074 0.0216989 0.118181 0.0287659 0.0259465 0.010597 0.000422555 6.78901e-14 0.0555098 0.176246 0.194815 0.201061 0.112349 0.120358 0.0642053 0.0712446 0.0264563 0.0086071 0.0426405 1.53766e-14
740.347 3.16387 338.707 296.025 1.0122 1.15071 0.2 0.4 0.7 1.3 1.4 1.9 2 2.7 3.3 3.7 3.8 5 0.0753655 0.0134819 0.282635 0.0763937 0.240549 0.123912 0.0966909 1.08175e-12 0.10317 2.22711e-12 1.78857e-13 9.20792e-11 0.101598 0.0163253 0.24417 0.299928 0.037544 0.0917923 0.0904953 0.144684 0.005429 0.0452053 0.0155447 0.0579945
451.169 1.92807 210.43 167.748 1.00571 1.18183 0.2 0.5 0.8 1 1.4 1.5 2.2 2.8 3.5 4 5 4.3 0.0521239 0.101929 0.216781 0.088188 0.0560493 0.247843 0.149161 0.0550219 0.0330902 0.0055207 1.16573e-15 5.93969e-15 0.0927599 0.119222 0.0427383 0.253048 1.30411e-10 0.252797 0.171632 0.09632 0.0380346 0.0678104 0.0474722 1.20604e-09
451.775 1.93066 210.778 168.096 1.00565 1.12233 0.1 0.5 0.9 1.3 1.7 2.1 2.4 3 3.6 4.4 4.5 5.5 0.0296736 0.173391 0.2292 0.185908 0.182373 0.028331 0.108795 0.0370032 0.0300276 0.000943642 5.52439e-10 4.9355e-13 0.055813 0.175117 0.20045 0.191985 0.145772 0.118004 0.0454644 0.0904863 0.0360458 0.0107823 0.0429376 0.0094752
450.39 1.92474 209.983 167.301 1.00607 1.06668 0.3 0.2 0.7 0.9 1.4 1.5 2 2.5 3.1 3.5 4.2 4.5 0.0854312 0.0112826 0.179376 0.161369 0.204773 0.090633 0.122484 0.0911713 0.0278705 0.0266195 0.00505392 1.17087e-09 0.156787 6.8124e-10 0.0645653 0.243759 0.123451 0.121574 0.162158 0.0625289 0.0730892 0.01537 0.00949944 0.0339002
451.797 1.93076 210.791 168.109 1.00573 1.07738 0.2 0.4 0.7 0.9 1.4 1.6 2.1 2.6 3.2 3.7 4.3 4.7 0.0523418 0.0399642 0.20659 0.129098 0.259791 0.0618556 0.132856 0.0698019 0.0326186 0.0201608 0.000654606 1.56829e-09 0.054538 0.133383 2.11042e-08 0.287105 0.128197 0.144291 0.145302 0.0533123 0.0806018 1.67246e-07 0.0339557 0.0166879
449.744 1.92198 209.611 166.929 1.00587 1.1906 0.3 0.7 0.9 1.3 1.6 2 2.4 2.9 3.3 3.9 4 5 0.102133 0.168773 0.156793 0.161947 0.175492 0.0633129 0.109553 0.0195847 0.0346225 0.0136607 8.35315e-07 8.39356e-12 0.174274 5.84518e-09 0.281189 0.151963 0.152721 0.0773112 0.132441 0.0583764 0.0312854 0.0336504 0.0484797 0.0489069
565.585 2.41703 268.97 226.288 1.0086 1.24601 0.1 0.5 0.8 1.1 1.5 1.7 2.2 2.7 3.3 4.1 4.5 4.6 0.0591164 0.142246 0.00275263 0.410615 0.0127053 0.182421 0.0398902 0.135026 5.55112e-17 0.0238281 4.996e-16 1.66533e-16 0.0638063 0.153092 0.110395 0.242856 0.0479712 0.187172 0.154431 0.0496957 0.132663 3.15032e-05 0.0731038 0.0307909
505.722 2.16121 239.994 197.312 1.00634 1.07 0.2 0.5 0.7 1.1 1.3 1.8 2 2.8 3.3 3.2 4.4 5.3 0.11182 0.023696 0.132129 0.177283 0.205025 0.180121 0.0553415 0.0584289 0.0381766 0.0243225 3.93461e-10 6.84986e-09 0.0959018 0.0153329 0.261858 4.28527e-09 0.296755 0.0212412 0.197922 0.0760362 0.0479016 2.06644e-08 0.0342841 0.022766
450.696 1.92605 210.159 167.477 1.00571 1.08724 0.3 0.7 0.8 1.2 1.5 1.7 2.2 2.6 3.2 3.7 4.3 4.8 0.104741 0.0779755 0.216681 0.12266 0.186713 0.0718312 0.112482 0.0573396 0.0353443 0.0190265 0.000917698 2.22045e-16 0.156518 0.0128783 0.216276 0.20149 1.55547e-07 0.207208 0.106521 0.0480551 0.0829087 5.28535e-10 0.0398487 0.0155372
510.935 2.18348 242.65 199.968 1.00638 1.03527 0.2 0.4 1 1.3 1.6 1.5 2.2 2.4 3.1 3.6 3.7 5.1 0.0881995 0.084821 0.334745 0.011395 0.294801 8.63647e-10 0.0909929 2.34746e-12 0.0962088 0.00471993 6.56813e-10 0.0004978 0.0569528 0.14701 0.32967 3.07787e-10 0.247696 5.40956e-13 4.57256e-08 0.1622 0.0189165 0.0193986 0.0204944 0.032933
503.054 2.1498 238.624 195.942 1.00639 1.2758 0.0001 0.3 0.9 1.1 1.6 2.1 2.4 3 3.5 3.9 4.6 5.1 0.0152024 0.148373 0.153346 0.217881 0.262021 0.0996273 2.01895e-08 0.0855641 0.0242251 6.4021e-13 1.66533e-16 0.000151169 0.0050045 0.167378 0.263816 0.104802 0.268881 0.0234585 0.170455 0.0690854 0.0398141 0.0735533 0.0293236 0.0602294
450.461 1.92505 210.024 167.342 1.00531 1.16383 0.0001 0.5 0.8 1 1.5 1.8 2.2 2.8 3.4 3.8 4.4 5.2 0.0299699 0.153384 0.141449 0.15198 0.287608 0.000610382 0.146966 0.0535193 0.0280806 0.0117483 6.43503e-09 3.11368e-10 0.0517628 0.177733 0.056881 0.221909 0.192909 0.102812 0.121163 0.0838401 0.0740043 1.51323e-10 0.0651456 0.0156683
451.618 1.92999 210.688 168.006 1.0052 1.16723 0.0001 0.6 1.1 1.2 1.7 2 2.4 3 3.6 4 4.5 5.4 0.0352863 0.266241 0.120298 0.180794 0.196691 0.025377 0.113387 0.0366498 0.0303877 8.24128e-05 1.23869e-06 3.38179e-12 0.059481 0.270166 0.00104815 0.292657 0.122725 0.131857 0.0670241 0.0954913 0.0433389 0.00620224 0.0625129 0.014726
451.464 1.92933 210.6 167.918 1.00567 1.12852 0.0001 0.6 0.7 1.3 1.8 2 2.5 2.8 3.3 3.9 4.5 5.4 0.0408606 0.1178 0.204479 0.311927 0.0999826 0.0759452 0.0961728 0.00633006 0.0409987 0.0111698 4.45984e-10 1.78191e-14 0.0622899 0.188235 0.112933 0.321598 3.39311e-09 0.219225 0.00862768 0.0799043 0.0585805 0.0179079 0.0510846 0.00813322
550.466 2.35242 261.952 219.27 1.00724 1.15217 0.1 0.4 0.7 1.2 1.4 2.1 2.3 2.6 3.4 3.9 4.6 5 0.0609719 0.00800109 0.261139 0.28937 0.072485 0.224802 0.00902799 0.0162919 0.0637121 9.65616e-13 0.00144066 1.66533e-16 0.0700197 0.0494596 0.240473 0.111623 0.268803 0.114515 0.049212 0.0938409 0.0517328 0.0497946 0.010043 0.0426528
497.718 2.127 235.862 193.18 1.0062 1.19604 0.2 0.6 0.8 1.3 1.4 1.9 2.3 3 3.4 3.9 4.7 5.1 0.116536 0.0392491 0.186377 0.313518 0.0344394 0.189555 0.016237 0.0839394 0.0257152 2.46738e-10 7.18375e-12 0.000632629 0.108708 0.0803779 0.216103 0.0309267 0.310277 0.0361687 0.187761 0.0673674 0.0239627 0.0672169 0.0178908 0.049277
451.584 1.92984 210.668 167.986 1.00573 1.08462 0.3 0.6 0.9 1.4 1.5 1.8 2.3 2.8 3.2 3.7 4.3 4.8 0.0985122 0.0927768 0.280865 0.0084298 0.266108 0.0463032 0.133526 0.0268492 0.0320003 0.0194622 0.000898716 1.40532e-10 0.153586 0.0454175 0.269056 0.188636 2.96661e-07 0.157273 0.113226 0.0245419 0.0785798 3.01334e-05 0.0390439 0.0152308
450.746 1.92627 210.188 167.506 1.00576 1.06929 0.2 0.4 0.8 1.3 1.6 2 2.4 2.8 3.3 3.8 4.4 4.8 0.0353513 0.092947 0.28284 0.191883 0.155497 0.0771011 0.0954022 0.0260432 0.0350721 0.0131853 0.000436266 5.82694e-11 0.0688035 0.0927944 0.24531 0.220101 0.0805206 0.168771 0.0302954 0.0609237 0.0566804 1.73464e-06 0.0389726 0.00611325
2265.84 9.68309 628.42 585.738 1.00137 2.70947 0.3 0.6 0.9 1.4 1.5 1.9 2.2 2.9 3.4 4 4.6 4.7 0.0963012 0.101415 0.267212 0.0361263 0.261111 0.00714019 0.128264 0.0688641 0.0349333 9.99201e-16 9.44078e-13 1.1877e-10 0.0935119 0.0327658 0.327082 0.109738 0.41335 0.196071 0.212473 0.0892385 0.344295 0.506807 0.38414 1.14176e-11
450.307 1.92439 209.935 167.253 1.00581 1.09151 0.3 0.7 0.8 1.1 1.5 1.7 2.3 2.7 3.2 3.6 4.3 4.8 0.100442 0.196215 0.0321469 0.203458 0.126793 0.141593 0.114788 0.0383516 0.0271738 0.0224355 0.00240755 1.51076e-11 0.153642 0.106746 0.0604598 0.246131 0.00194884 0.241459 0.115801 0.0247244 0.084005 1.42429e-10 0.0408072 0.015787
