Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
813.24 3.47539 363.029 320.347 1 1.08199 0.0001 0.3 0.8 1.1 1.4 1.9 2.3 2.5 3.4 4 3.9 5.1 0.0132419 0.105566 0.205179 0.235274 0.114741 0.134409 0.124215 0.0103374 0.05702 8.85824e-06 3.50522e-07 8.99291e-06 0.00915482 0.151392 0.194424 0.12526 0.218012 0.122304 2.25759e-07 0.150109 0.0318829 0.0102662 0.040132 0.0290557
453.004 1.93592 211.482 168.8 1 1.04412 0.2 0.5 0.8 1.2 1.6 1.8 2.3 3 3.6 4.3 4.5 4.9 0.0479803 0.118847 0.209864 0.194691 0.183344 0.0410531 0.131889 0.0531296 0.0181248 0.00107694 6.50367e-07 9.42855e-10 0.0826968 0.113205 0.170701 0.224516 0.0685097 0.14687 0.106646 0.0724402 0.0269717 0.011764 0.0198003 3.51231e-11
461.445 1.97199 216.264 173.582 1 1.09027 0.3 0.5 0.9 1.3 1.7 2.1 2.5 3.2 3.5 4.3 4.4 5.3 0.0760617 0.108349 0.261838 0.164109 0.189414 0.0472165 0.103377 0.0313248 0.0151855 0.00312349 1.812e-06 4.41602e-10 0.170847 0.00164398 0.282554 0.147593 0.202319 0.0115024 0.158766 5.18862e-10 0.0647113 0.0272359 0.00952282 0.0135736
453.567 1.93832 211.804 169.122 1 1.01449 0.0001 0.4 0.8 1.2 1.6 2.1 2.4 2.9 3.4 4.1 4.4 5 0.0147826 0.129122 0.240978 0.180892 0.206699 0.0785953 0.0761808 0.0408117 0.0277561 0.00418238 6.78706e-07 1.92422e-10 0.0364636 0.137072 0.207699 0.18565 0.172415 0.134328 0.0247244 0.0641879 0.0259118 0.0110422 0.015 2.07306e-11
5256.2 22.4624 846.359 803.677 1 3.9489 0.0001 0.4 0.7 0.9 1.3 1.6 2 2.5 3 3.5 4.1 4.3 0.02294 0.0950792 0.175096 0.121521 0.21472 0.111483 0.112556 0.0738256 0.0302162 0.0321888 0.0103613 1.21668e-05 0.0092808 0.0358895 2.03481e-10 0.0453285 0.0203427 0.065105 0.356772 0.797659 1 0.965705 0.559592 0.0932298
451.051 1.92757 210.363 167.681 1 1.0699 0.2 0.5 0.9 1.4 1.7 2.1 2.4 2.9 3.4 3.9 5 5.3 0.0432487 0.148947 0.263156 0.215917 0.102762 0.07903 0.0731984 0.0436447 0.0239478 0.00614824 5.90789e-09 7.16591e-09 0.0947548 0.103725 0.246174 0.259739 0.0292512 0.127533 0.0567638 0.0737242 0.00229719 0.0580014 0.0179371 7.88031e-12
457.294 1.95425 213.923 171.241 1 1.09035 0.0001 0.5 0.8 1.3 1.6 2.1 2.4 2.9 3.6 3.9 5.1 4.9 0.0310622 0.140208 0.222182 0.234843 0.122789 0.124871 0.0416808 0.0594715 0.0228924 7.30484e-07 2.14863e-11 2.99032e-10 0.0623063 0.135125 0.179099 0.28586 0.0645597 0.148572 0.0429304 0.0835078 0.00445052 0.0614203 0.00438863 0.0181267
6082.74 25.9946 884.185 841.503 1 3.03687 0.2 0.4 0.8 1.2 1.4 1.8 2.2 2.7 3.2 3.7 4.1 4.2 0.0305073 0.116825 0.251715 0.130315 0.135671 0.134809 0.0844348 0.0792532 0.0129582 0.016821 0.00560667 0.0010837 0.00568723 7.10289e-05 0.034105 0.00769941 0.103258 0.139819 0.531194 0.819594 0.958412 0.437033 8.67058e-09 2.29906e-08
4838.09 20.6756 824.891 782.209 1 2.98683 0.2 0.5 0.8 1.3 1.7 1.9 2.4 3 3.6 4 4.1 5.7 0.0519271 0.111822 0.237527 0.250791 0.0920435 0.0837452 0.0973285 0.053227 0.00221141 3.04997e-09 2.22234e-09 0.0193778 0.0116825 1.28111e-09 0.0523704 0.0180468 0.195084 0.216769 0.866381 0.947343 0.355755 1.20923e-10 5.19531e-09 0.323394
463.101 1.97906 217.191 174.509 1 1.0377 0.2 0.5 0.7 1.2 1.7 1.6 2.2 2.8 3.4 4.1 4.7 4.8 0.0550842 0.0541712 0.234488 0.253029 0.0976562 0.0873473 0.123378 0.0624434 0.0279085 0.00449408 4.05287e-08 8.26925e-09 0.0903131 0.0494727 0.205157 0.257345 0.172439 8.84247e-10 0.123686 0.0682443 0.0370477 0.0257358 0.00825895 4.78728e-13
