Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
510.607 2.18208 242.484 199.802 1.01297 1.1476 0.0001 0.5 1 1.3 1.7 2.1 2.5 2.9 3.4 3.9 4 5.1 0.0660648 0.143837 0.218027 0.19385 0.183863 0.085743 7.71711e-10 0.0677889 0.0445694 1.12903e-10 5.11984e-11 0.0092239 0.0546158 0.19138 0.213307 0.178841 0.138332 0.0896239 0.104399 0.0368056 0.0499905 8.18832e-11 0.0500146 0.0402913
508.441 2.17282 241.383 198.701 1.01366 1.0029 0.1 0.5 0.9 1.2 1.6 1.9 2.2 2.8 3.3 3.9 4.6 5.2 0.0751987 0.122886 0.133904 0.255752 0.150435 0.119926 0.0295386 0.0544935 0.0607225 8.54872e-15 1.11022e-16 0.0107988 0.059439 0.161652 0.202307 0.137044 0.160182 0.0899054 0.0812319 0.066692 0.0360282 0.00358617 0.00483301 5.85625e-09
505.864 2.16181 240.067 197.385 1.01388 1.00747 0.0001 0.4 0.7 1.2 1.5 1.9 2.1 2.9 3.4 4.6 4.4 5.2 0.0671664 0.0564064 0.170819 0.283459 0.133446 0.136134 0.0422718 0.0700758 0.0437879 6.42597e-13 5.47895e-14 0.0103115 0.0501487 0.0761779 0.233441 0.191065 0.161817 0.0273077 0.159504 0.0743209 0.026376 0.00281775 0.0040124 0.000482418
441.727 1.88772 204.952 162.271 1.00824 1.01003 0.3 0.7 0.8 1.2 1.5 1.8 2.2 2.7 3.2 3.6 4.3 4.8 0.103062 0.110974 0.175857 0.138786 0.198738 0.0526087 0.122522 0.0522897 0.0325201 0.0127067 0.00817691 6.3427e-13 0.155725 2.57017e-13 0.230942 0.179751 0.0839151 0.144634 0.0866389 0.0588981 0.0382699 0.0107455 0.0205115 1.28586e-12
513.263 2.19343 243.828 201.146 1.01385 0.998318 0.2 0.5 0.8 1.3 1.6 2 2.2 3 3.5 4.4 4.5 5.2 0.117507 0.0151902 0.222192 0.284618 0.108783 0.129386 0.0176059 0.0810904 0.0272305 0 5.55112e-17 0.0102427 0.0888111 0.0852469 0.23135 0.204171 0.122734 0.0665504 0.108081 0.076191 0.0112514 0.00321507 0.000717046 1.43633e-09
499.758 2.13572 236.922 194.24 1.01301 1.12438 0.2 0.3 0.9 1 1.5 1.9 2.3 2.7 3.3 3.9 4 5.1 0.037529 0.125475 0.0582946 0.272672 0.232209 0.143889 0.00922394 0.0570446 0.0671362 1.69309e-14 1.79301e-14 0.00954084 0.0190438 0.14674 0.295015 0.0290819 0.255665 0.058534 0.117678 0.069923 0.0456533 0.0381845 0.0132046 0.035658
436.953 1.86732 202.138 159.456 1.00833 1.01785 0.3 0.7 0.8 1 1.4 1.8 2.2 2.8 3.3 3.9 4.4 4.7 0.104425 0.0738076 0.227777 0.0193128 0.285916 0.0658026 0.131894 0.055201 0.0296525 0.00907063 0.00546883 1.96816e-10 0.156998 8.84628e-09 0.201035 0.106944 0.197244 0.12274 0.10846 0.0625751 0.0330772 0.0136403 0.0151315 8.11035e-11
434.832 1.85826 200.878 158.196 1.00836 1.03537 0.3 0.7 0.9 1.3 1.6 2.1 2.3 2.9 3.5 3.9 4.3 5.1 0.101443 0.178168 0.142889 0.171516 0.17511 0.0588053 0.0920209 0.0546923 0.0250128 2.37173e-10 0.00869793 1.64543e-10 0.171365 8.92969e-11 0.284006 0.126899 0.177049 0.0377941 0.117959 0.0641801 0.00445071 0.0425766 9.47597e-10 0.00908992
504.714 2.1569 239.477 196.795 1.01398 1.01642 0.2 0.5 0.7 1.1 1.5 1.9 2.2 2.9 3.4 4.6 4.5 5.2 0.114809 0.014226 0.134034 0.255118 0.209066 0.125299 0.0395993 0.0660342 0.0455727 1.28048e-12 4.76008e-13 0.0102187 0.0890245 0.0649337 0.172886 0.197075 0.181666 0.0942297 0.104901 0.0701567 0.0309959 1.29105e-08 0.00907055 0.00147713
515.642 2.2036 245.025 202.343 1.01358 0.972724 0.2 0.5 0.8 1.3 1.4 1.9 2.1 3 3.5 3.9 4.5 5.2 0.118324 0.011204 0.231004 0.178386 0.171639 0.121965 0.062356 0.0828072 0.0261908 3.44169e-15 5.2347e-14 0.00970437 0.0912353 0.0730662 0.254327 5.6042e-11 0.287663 0.016757 0.169348 0.0750499 0.00400507 1.37118e-11 0.00127218 1.241e-10
