Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
737.057 3.39657 312.121 284.478 1 1 0.2 0.6 0.8 1.1 1.5 1.7 2.2 2.8 3.2 3.7 4.2 4.7 0.0775548 0.194498 0.171727 0.112877 0.26915 0.0281779 0.0688909 0.0771247 0 0 0 0 0.120325 0.137994 0.170869 0.131776 0.194421 0.0803414 0.113951 0.0503231 0 0 0 0
734.111 3.383 311.184 283.541 1 1 0.2 0.5 0.9 1.3 1.5 1.8 2 2.8 3.3 3.8 4.4 5 0.04654 0.285617 0.0989558 0.0876449 0.361804 0.00794795 0.0111852 0.100306 0 0 0 0 0.132551 0.0691478 0.335411 0.128225 0.0564194 0.0536019 0.167318 0.0573252 0 0 0 0
729.553 3.36199 309.726 282.084 1 1 0.0001 0.4 0.9 1.1 1.6 2.2 2.8 3 3.5 4.1 4.6 5.1 0.0168571 0.239411 0.16033 0.151876 0.334589 0.011607 0.0363692 0.0489622 0 0 0 0 0.063068 0.142522 0.303228 0.0893913 0.22176 0.1388 0.00318067 0.0380502 0 0 0 0
739.411 3.40742 312.867 285.225 1 1 -0.2999 0.5 0.8 0.9 1.4 1.8 2.1 2.7 3.3 3.9 4.4 4.9 0.0475975 0.232402 0.100624 0.0884413 0.339044 0.0546839 0.035035 0.102172 0 0 0 0 0.19273 0.000343919 0.177103 0.132281 0.246747 0.0832622 0.10199 0.0655434 0 0 0 0
724.451 3.33848 308.084 280.442 1 1 0.2 0.4 0.9 1.4 1.6 1.9 2.3 2.9 3.5 4 4.5 5.1 0.0423077 0.196134 0.260297 0.136556 0.262852 0.000153248 0.0173118 0.0843886 0 0 0 0 0.071912 0.149262 0.318623 0.0850404 0.204129 0.0272166 0.105163 0.0386544 0 0 0 0
739.438 3.40755 312.876 285.233 1 1 -0.2999 0.6 0.8 0.9 1.4 1.9 2.1 2.7 3.3 3.8 4.3 4.9 0.0909542 0.23735 0.0934316 0.0360658 0.363559 0.044322 0.0331953 0.101122 0 0 0 0 0.190768 0.00162643 0.214939 0.0835551 0.275553 0.0789146 0.0892382 0.0654048 0 0 0 0
728.373 3.35656 309.348 281.705 1 1 0.2 0.4 0.7 1.1 1.4 1.8 2.1 2.8 3.3 3.9 4.4 5 1.45338e-05 0.247422 0.144123 0.0154084 0.424613 0.0626648 0.00970407 0.0960507 0 0 0 0 0.127318 0.000140971 0.276464 0.153756 0.160949 0.123511 0.094522 0.0633392 0 0 0 0
741.089 3.41516 313.398 285.755 1 1 -0.0999 0.5 0.6 0.9 1.3 1.7 2 2.7 3.2 3.8 4.3 4.9 0.0142341 0.20328 0.168538 0.012945 0.355162 0.102092 0.0393375 0.104412 0 0 0 0 0.092272 0.00195245 0.213487 0.179627 0.192681 0.127179 0.116478 0.0763244 0 0 0 0
734.344 3.38408 311.258 283.616 1 1 0.2 0.4 0.8 1.2 1.5 2 2.2 2.9 3.4 4 4.6 5.1 0.0468392 0.127101 0.293939 0.132954 0.222206 0.030246 0.0853892 0.0613262 0 0 0 0 0.0585908 0.166023 0.206464 0.156642 0.215623 0.0241295 0.131939 0.0405891 0 0 0 0
735.854 3.39103 311.739 284.096 1 1 -0.0999 0.5 0.9 1.1 1.6 2.1 2.3 2.8 3.4 4 4.6 5.2 0.0490579 0.187232 0.271573 0.0943647 0.260437 0.0333575 0.0231014 0.0808767 0 0 0 0 0.0708818 0.201149 0.182399 0.129592 0.261381 0.0247675 0.0877461 0.042082 0 0 0 0
729.687 3.36261 309.77 282.127 1 1 -0.0999 0.5 0.8 1.2 1.6 1.9 2.4 3.4 3.4 4 4.6 5.1 0.0682687 0.106997 0.296077 0.170115 0.19593 0.0277238 0.112912 0.0219773 0 0 0 0 0.0684826 0.187054 0.178664 0.163989 0.249315 0.00234674 0.128583 0.0215662 0 0 0 0
734.545 3.385 311.322 283.68 1 1 0.2 0.6 0.9 1.1 1.6 2.1 2.3 2.9 3.3 3.8 4.3 4.9 0.0947492 0.152519 0.257088 0.107239 0.240369 0.0393109 0.0464768 0.0622482 0 0 0 0 0.119123 0.169476 0.184633 0.101351 0.275767 3.61827e-05 0.113861 0.0357532 0 0 0 0
740.585 3.41283 313.238 285.596 1 1 0.3 0.5 0.6 0.9 1.3 1.6 1.9 2.7 3.1 3.6 4.2 4.7 0.0496757 0.118578 0.206334 0.0452808 0.300517 0.110066 0.0631793 0.10637 0 0 0 0 0.188487 2.59912e-05 0.057642 0.243744 0.219867 6.92746e-05 0.213104 0.0770607 0 0 0 0
736.104 3.39219 311.818 284.176 1 1 -0.0999 0.4 0.8 1 1.5 1.8 2.2 2.8 3.2 3.7 4.3 4.9 0.0363283 0.129286 0.286528 0.100851 0.259074 0.0575226 0.0491426 0.0812678 0 0 0 0 0.057091 0.145387 0.219972 0.109537 0.271985 0.0281699 0.119283 0.0485748 0 0 0 0
733.675 3.38099 311.045 283.402 1 1 -0.0999 0.4 0.9 1.3 1.7 2 2.3 2.9 3.4 4 4.6 5.1 0.0398527 0.145649 0.37514 0.117139 0.179761 0.0315797 0.0470425 0.0638364 0 0 0 0 0.0358559 0.207545 0.252783 0.173422 0.18566 8.92868e-05 0.108859 0.0357855 0 0 0 0
724.755 3.33989 308.183 280.54 1 1 0.0001 0.5 1.1 1 1.6 1.9 2.4 3 3.5 4 4.6 5.1 0.0599247 0.233455 0.283769 0.0418818 0.230864 0.0595561 0.0222296 0.0683201 0 0 0 0 0.0540987 0.255712 0.225238 0.0816753 0.180134 0.0814612 0.0905116 0.0311693 0 0 0 0
747.195 3.44329 315.318 287.675 1 1 -0.0999 0.5 0.8 1 1.5 1.7 2 2.7 3.1 3.7 4.2 4.7 0.0379983 0.186649 0.242026 0.057605 0.299443 0.0420669 0.0243449 0.109867 0 0 0 0 0.100382 0.0879694 0.200564 0.189017 0.170072 0.0317859 0.157119 0.0630907 0 0 0 0
