Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
724.412 3.33831 308.072 280.429 1 1 0.2 0.4 0.8 1.1 1.5 2 2.3 2.9 3.5 4 4.5 5 0.0371189 0.20013 0.15874 0.121365 0.347287 0.043497 0.00890491 0.0829574 0 0 0 0 0.0645924 0.156307 0.187929 0.157406 0.227454 0.0894046 0.0739907 0.0429172 0 0 0 0
724.356 3.33805 308.054 280.411 1 1 -0.0999 0.4 0.8 1.2 1.6 2.1 2.3 2.9 3.5 4.1 4.7 5.2 0.0388169 0.180228 0.199414 0.178983 0.29788 0.011402 0.00836653 0.0849103 0 0 0 0 0.0478931 0.166338 0.223175 0.182285 0.208641 0.0516048 0.0791953 0.0408683 0 0 0 0
724.335 3.33795 308.047 280.404 1 1 0.1 0.4 0.9 1.3 1.6 2.1 2.3 2.9 3.4 4 4.6 5.2 0.0228835 0.22685 0.221913 0.147698 0.273394 0.0125966 0.0105327 0.0841327 0 0 0 0 0.0353076 0.207345 0.258178 0.138686 0.182584 0.066105 0.0700639 0.0417306 0 0 0 0
734.585 3.38518 311.335 283.692 1 1 0.2 0.5 0.8 1.2 1.5 2 2.2 2.9 3.4 4 4.6 5.1 0.0647915 0.152638 0.229333 0.166307 0.209308 0.0273067 0.089927 0.0603887 0 0 0 0 0.0925029 0.162533 0.168916 0.166136 0.212898 0.0256681 0.130569 0.0407781 0 0 0 0
731.289 3.37 310.283 282.64 1 1 -0.0999 0.5 0.8 1.2 1.6 2.1 2.3 3.1 3.4 3.9 4.5 5.1 0.069354 0.105256 0.285587 0.200229 0.169359 0.0494737 0.0799249 0.0408166 0 0 0 0 0.0626733 0.218376 0.125404 0.221516 0.207158 0.0022892 0.135099 0.0274839 0 0 0 0
744.521 3.43097 314.479 286.836 1 1 0.2 0.6 0.6 1 1.4 1.7 1.9 2.6 3.2 3.7 4.3 4.8 0.0576458 0.0855679 0.238586 0.110124 0.27826 0.102304 0.00216673 0.125345 0 0 0 0 0.113056 0.117796 0.0955945 0.213467 0.185271 0.0352351 0.153613 0.0859664 0 0 0 0
727.588 3.35294 309.095 281.453 1 1 -0.0999 0.4 0.9 1.4 1.6 2 2.2 2.8 3.4 3.9 4.5 5.1 0.0298382 0.210227 0.259804 0.133303 0.265241 0.00249531 0.00170234 0.0973899 0 0 0 0 0.0461697 0.181897 0.301595 0.14475 0.134103 0.0656952 0.0718117 0.0539786 0 0 0 0
734.257 3.38367 311.23 283.588 1 1 0.2 0.6 0.8 1.2 1.5 2 2.2 2.9 3.3 3.8 4.4 4.9 0.0912456 0.132329 0.235318 0.158405 0.194295 0.0582291 0.0681222 0.0620562 0 0 0 0 0.112746 0.177335 0.146912 0.131031 0.243491 0.00789499 0.139946 0.0406433 0 0 0 0
745.582 3.43586 314.812 287.169 1 1 0.2 0.6 0.7 0.9 1.3 1.6 1.8 2.6 3.1 3.7 4.2 4.8 0.0718876 0.152157 0.194849 0.044354 0.195285 0.202346 0.0162258 0.122896 0 0 0 0 0.131941 0.025805 0.156907 0.199587 0.140967 0.043712 0.209568 0.0915122 0 0 0 0
746.096 3.43823 314.973 287.331 1 1 0.0001 0.6 0.5 1 1.3 1.5 1.8 2.6 3.1 3.7 4.3 4.9 0.0116479 0.142259 0.227324 0.05976 0.204364 0.182974 0.0444958 0.127175 0 0 0 0 0.0723017 0.0927677 0.135551 0.260194 0.103083 0.00566265 0.242791 0.0876497 0 0 0 0
725.063 3.3413 308.282 280.639 1 1 0.2 0.5 0.8 1.2 1.4 1.7 2.1 2.9 3.4 4 4.5 5 0.0857192 0.163998 0.17684 0.0502592 0.289127 0.121065 0.0296105 0.0833803 0 0 0 0 0.0839534 0.196855 0.111445 0.214706 0.138316 0.037666 0.164879 0.0521789 0 0 0 0
744.089 3.42898 314.343 286.7 1 1 0.2 0.6 0.6 1 1.4 1.7 1.9 2.6 3.2 3.8 4.4 5 0.0521773 0.156854 0.187933 0.0749102 0.315622 0.0834164 0.00267257 0.126414 0 0 0 0 0.115899 0.148579 0.0518966 0.241943 0.135673 0.0948658 0.122415 0.0887289 0 0 0 0
734.57 3.38512 311.33 283.688 1 1 0.2 0.4 0.6 0.9 1.4 1.6 2 2.8 3.3 3.9 4.5 5.1 0.00190547 0.207308 0.162333 0.0268982 0.404542 0.0729389 0.0246783 0.0993958 0 0 0 0 0.135666 0.0283976 0.022592 0.380384 0.108259 0.0878778 0.178842 0.0579814 0 0 0 0
725.803 3.34471 308.521 280.878 1 1 0.2 0.4 0.8 1.1 1.5 1.8 2.2 2.8 3.4 3.9 4.5 5 0.005697 0.250544 0.162511 0.0579231 0.410441 0.0102328 0.00184943 0.100802 0 0 0 0 0.0560179 0.180947 0.124687 0.257916 0.100919 0.143007 0.0811725 0.0553332 0 0 0 0
724.446 3.33846 308.083 280.44 1 1 0.2 0.4 1 1.4 1.6 2.1 2.6 3 3.5 4.1 4.6 5.2 0.0229491 0.244778 0.262065 0.135869 0.213061 0.0345641 0.0278375 0.058876 0 0 0 0 0.0196223 0.257545 0.260201 0.19392 0.0572421 0.149836 0.0292389 0.0323952 0 0 0 0
739.22 3.40654 312.807 285.164 1 1 0.2 0.5 0.8 1.2 1.4 1.8 2.1 2.7 3.2 3.8 4.4 4.9 0.0506038 0.187886 0.212828 0.0958624 0.225426 0.102239 0.0246919 0.100463 0 0 0 0 0.0922306 0.169156 0.146768 0.208637 0.11083 0.111228 0.0964498 0.0647001 0 0 0 0
744.119 3.42912 314.353 286.71 1 1 0.2 0.5 0.8 0.9 1.5 1.6 2 2.6 3.1 3.7 4.2 4.7 0.0552311 0.167779 0.195153 0.0984821 0.306755 0.0476635 0.00259986 0.126337 0 0 0 0 0.118752 0.0836487 0.110342 0.230945 0.159932 0.116141 0.0949418 0.0852973 0 0 0 0
730.403 3.36591 309.999 282.357 1 1 0.2 0.5 0.9 1.3 1.7 2 2.4 3.3 3.7 4.2 4.8 5.4 0.0787031 0.143112 0.305704 0.168639 0.163943 0.00818153 0.106174 0.0255432 0 0 0 0 0.0783592 0.218017 0.151109 0.252487 0.135438 0.0293529 0.113799 0.021439 0 0 0 0
737.083 3.3967 312.129 284.487 1 1 -0.2999 0.6 0.8 1 1.5 2 2.2 2.8 3.2 3.8 4.3 4.8 0.122817 0.105432 0.198062 0.114912 0.299148 0.0415901 0.0355548 0.0824847 0 0 0 0 0.184634 0.0589476 0.0992483 0.212125 0.239017 0.0772319 0.0749215 0.0538754 0 0 0 0
724.597 3.33916 308.131 280.489 1 1 0.0001 0.4 0.8 1.2 1.6 2 2.4 3 3.6 4.2 4.8 5.4 0.059234 0.126468 0.253212 0.159904 0.287319 0.0161434 0.0309141 0.0668051 0 0 0 0 0.0420061 0.173529 0.220449 0.186209 0.195117 0.0657083 0.0856864 0.0312954 0 0 0 0
