Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m
454.172 1.94091 212.149 169.467 1 1 -0.0999 0.5 0.8 1.2 1.5 1.9 2.3 2.8 3.2 3.7 4.3 4.5 0.0337494 0.141282 0.2035 0.166222 0.177823 0.0933814 0.100604 0.0422865 0.026918 0.0141991 3.47218e-05 2.07356e-07 0.0576247 0.153692 0.151384 0.209472 0.0998333 0.150378 0.0664632 0.0508417 0.0304001 0.0116061 0.0181089 0.000196782
456.753 1.95193 213.616 170.934 1 1 -0.0999 0.5 0.7 1.1 1.5 1.8 2.3 2.8 3.3 4 4.4 5.3 0.0350143 0.114996 0.163514 0.216262 0.176639 0.0969966 0.116454 0.0388095 0.0357074 0.00560702 5.9271e-08 6.54161e-09 0.0630855 0.110559 0.145202 0.216732 0.117274 0.150498 0.0881079 0.0458717 0.0384151 0.00185353 0.0224016 1.38245e-08
564.291 2.4115 268.376 225.694 1 1 -0.0999 0.4 0.9 1.3 1.7 1.8 2.2 3 3.3 4.1 4 4.9 0.0623669 0.105086 0.221363 0.250246 0.0989066 0.0951064 0.067409 0.0662674 0.0332451 4.78992e-06 1.00258e-08 2.85508e-07 0.0357579 0.155988 0.256142 0.157108 0.099866 0.0775088 0.108718 0.0740683 0.0110078 0.00817415 0.00568621 0.00997504
805.687 3.44311 360.612 317.931 1 1 0.2 0.6 0.9 1.1 1.4 1.8 2.2 2.9 3.3 3 4.3 4.6 0.0808028 0.107291 0.193826 0.15009 0.150913 0.0669246 0.186222 1.75028e-06 0.0636754 2.80838e-11 1.42889e-10 0.000253725 0.0933872 0.161313 0.13387 0.11565 0.120216 0.176746 0.0804421 0.0690698 0.0211801 0.00182701 0.0262974 9.26173e-07
459.584 1.96403 215.217 172.535 1 1 -0.0999 0.4 0.8 1.2 1.6 1.9 2.3 2.8 3.4 3.5 4.3 4.5 0.0160244 0.128965 0.237158 0.188913 0.187466 0.0494914 0.108304 0.0480748 0.0305292 0.00273509 0.0023379 1.57373e-08 0.0468853 0.117415 0.22153 0.187485 0.121987 0.128901 0.0580086 0.0682737 0.0184036 0.011374 0.0197316 5.23865e-06
455.353 1.94595 212.821 170.139 1 1 0.2 0.5 0.7 1.1 1.4 1.7 2.1 2.7 3.3 3.9 4.5 4.8 0.0589486 0.0339411 0.258761 0.107596 0.239372 0.0486022 0.144178 0.0686531 0.0328175 0.00713111 5.1506e-08 2.24561e-09 0.0846552 0.0851739 0.143495 0.21467 0.0876356 0.135023 0.118662 0.0663658 0.0373406 0.00965001 0.0173295 2.88402e-07
457.473 1.95501 214.024 171.343 1 1 0.3 0.5 0.8 1.2 1.6 1.9 2.3 2.8 3.3 4.1 4.2 4.5 0.0913408 0.0522266 0.24392 0.176898 0.203307 0.0344907 0.118017 0.0384604 0.0355309 0.00580807 5.99792e-07 9.99128e-09 0.155486 6.90341e-11 0.229434 0.188118 0.132026 0.107205 0.0789664 0.0511881 0.0352082 0.00409223 0.0173843 0.000891416
454.332 1.94159 212.24 169.558 1 1 0.2 0.5 0.8 1.2 1.5 1.8 2.1 2.7 3.3 3.6 4.2 4.2 0.049736 0.109924 0.230706 0.13544 0.216839 0.00262701 0.145348 0.0705945 0.0265957 0.00947818 0.0025938 0.000118102 0.0830954 0.108097 0.182002 0.191792 0.104375 0.0885182 0.113658 0.0690237 0.0384604 2.61068e-06 0.0180912 0.00288564
779.114 3.32955 351.926 309.244 1 1 0.0001 0.5 0.9 1.2 1.5 1.7 2.1 2.7 3.3 4.1 3.4 4.4 0.058492 0.123177 0.179123 0.223001 0.150727 0.0285406 0.0921585 0.124575 9.62595e-08 0.0202046 1.10833e-07 7.06136e-07 0.0598326 0.16517 0.166383 0.17238 0.0977456 0.0935431 0.112562 0.0876538 0.0128467 0.00882868 0.0141115 0.00894223
863.249 3.6891 378.486 335.804 1 1 0.2 0.6 0.9 1.1 1.5 1.7 2.1 2.8 3.3 3 4.3 4.5 0.0773596 0.128526 0.123762 0.247644 0.12831 1.46886e-05 0.215238 0.0210909 0.0574256 5.60198e-05 1.92867e-05 0.000553792 0.092693 0.163034 0.129585 0.132644 0.118991 0.113952 0.121331 0.0611739 0.0285174 0.0114019 0.0266618 1.50823e-05
460.28 1.96701 215.609 172.927 1 1 -0.0999 0.5 0.9 1 1.5 1.9 2.4 3 3.4 3.8 4.5 4.8 0.0278229 0.185043 0.0954222 0.192387 0.229056 0.0965439 0.111226 0.033962 0.0233135 0.00521779 6.27072e-06 1.47186e-09 0.0580765 0.167302 0.0932227 0.184956 0.183791 0.138882 0.0766939 0.0586503 0.00337336 0.0181826 0.0168699 3.06923e-07
455.163 1.94514 212.714 170.032 1 1 -0.0999 0.5 0.9 1.3 1.7 2.1 2.5 3.1 3.5 4.1 4.6 5.1 0.0290873 0.176291 0.22437 0.19486 0.163244 0.0689869 0.0885724 0.0325851 0.0192427 0.00276108 1.35815e-10 1.96719e-09 0.0557769 0.171585 0.19779 0.191372 0.136861 0.107235 0.0522217 0.0592031 0.00185558 0.0194273 0.00667246 5.40913e-09
455.738 1.9476 213.041 170.359 1 1 0.2 0.5 0.8 1.2 1.6 1.8 2.3 2.9 3.4 4.1 4.4 5.3 0.047583 0.120486 0.207329 0.1979 0.177057 0.0472397 0.127344 0.0437 0.0277743 0.00358729 2.14322e-07 1.21756e-08 0.0893459 0.0847181 0.213959 0.174277 0.127361 0.104045 0.100669 0.0490459 0.0315624 7.65027e-07 0.0250151 2.94959e-07
554.93 2.37149 264.043 221.361 1 1 -0.0999 0.5 0.9 1.3 1.8 1.8 2.2 3 3.4 4.2 3.9 5 0.0766374 0.114169 0.178749 0.290685 0.180457 0.000869783 0.0563096 0.0755603 0.0265624 2.11968e-08 5.26126e-07 4.09055e-08 0.0569314 0.170038 0.195234 0.210861 0.117111 0.0417307 0.103936 0.0802165 0.00445033 0.00402085 0.00735742 0.00811286
808.301 3.45428 361.451 318.77 1 1 -0.0999 0.5 0.8 1.1 1.5 2 2.1 2.7 3.4 3.4 4.1 3.5 0.0654988 0.107884 0.0894575 0.293504 0.19267 0.0591701 0.043315 0.129367 3.80753e-10 2.96635e-12 0.0191341 4.92384e-14 0.0605411 0.138095 0.153592 0.173261 0.175834 0.126127 0.0417957 0.0820963 0.00716154 0.0156122 0.0248566 0.00102868
760.41 3.24962 345.633 302.951 1 1 0.1 0.4 0.7 1 1.4 1.7 2 2.6 2.7 3.5 4 4.5 0.049209 0.107518 0.0243902 0.323239 0.182362 0.0843559 0.0595185 0.124013 0.0220366 9.06052e-09 0.0233579 3.04142e-07 0.0524888 0.109449 0.117989 0.191948 0.170558 0.125908 0.0643407 0.119584 0.00374472 0.0278487 0.00759879 0.00854164
776.152 3.31689 350.94 308.258 1 1 -0.0999 0.4 0.7 1 1.4 1.7 2.2 2.7 3.6 4.1 4.7 4.4 0.0490113 0.112056 0.0142892 0.332125 0.166561 0.120164 0.062384 0.124274 1.87647e-08 0.019135 1.85906e-10 6.23901e-10 0.0564021 0.0954778 0.140601 0.171964 0.176537 0.140778 0.0795962 0.0930109 0.0284184 0.00173515 0.0110309 0.00444796
755.583 3.22899 343.983 301.301 1 1 -0.0999 0.4 0.7 1 1.4 1.7 2 2.6 3.7 4 3.2 4.7 0.0454464 0.120689 5.00966e-07 0.351812 0.151462 0.113075 0.0440993 0.148818 5.34159e-11 0.0245984 1.61754e-08 3.78789e-11 0.0557728 0.0985756 0.136284 0.171236 0.192083 0.107177 0.0697059 0.120654 0.0300503 3.61449e-05 0.00699725 0.0114285
